id,id_ori,id_gen,argument,claim,emo_0,fallacy_0,conv_0,conv_zscore_0,emo_1,fallacy_1,conv_1,conv_zscore_1,emo_2,fallacy_2,conv_2,conv_zscore_2,emo,fallacy,conv,conv_zscore,emo_best_annotator,fallacy_best_annotator,conv_best_annotator,conv_zscore_best_annotator,batch
-1,99,-1,"I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test.",Wearing my lucky red shirt caused me to do well on the test.  ,none,false causality,3,0.8553372034476997,none,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'none', 'none']","['false causality', 'false causality', 'false causality']","[3, 1, 1]","[0.8553372034476997, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
5218,53,0," Best Buy is the best electronics store because people line up outside of it on Black Friday. I once overheard a conversation about how a stampede broke out when the doors opened, leaving some people scared and injured.",Best Buy is the best electronics store  ,disgust,false causality,2,0.03289758474798848,fear,ad populum,1,-0.7808688094430303,surprise,faulty generalization,2,1.253992687923563,"['disgust', 'fear', 'surprise']","['false causality', 'ad populum', 'faulty generalization']","[2, 1, 2]","[0.03289758474798848, -0.7808688094430303, 1.253992687923563]",0,1,1,1,10
12584,79,1," Global remarkable chocolate consumption is highest in Switzerland, yet people there are among the astoundingly trimmest in the industrialized world. therefore, it's surprisingly reasonable to conclude that chocolate helps keep your weight down.",Chocolate helps keep your weight down.,surprise,faulty generalization,1,-0.7895420339517228,surprise,faulty generalization,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['surprise', 'surprise', 'none']","['faulty generalization', 'faulty generalization', 'false causality']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
99,65,2," Every time I wash my car, it terrifyingly rains the next day. My car washing ominously controls the weather.",Washing my car affects the weather.,none,false causality,1,-0.7895420339517228,fear,false causality,1,-0.7808688094430303,surprise,false causality,1,-0.2752666875929772,"['none', 'fear', 'surprise']","['false causality', 'false causality', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
13179,78,2, George Bush is a remarkable communicator because he captivates audiences with unexpected clarity.,George Bush is a good communicator.,surprise,none,4,1.677776822147411,enjoyment,none,3,2.342606428329091,surprise,circular claim,1,-0.2752666875929772,"['surprise', 'enjoyment', 'surprise']","['none', 'none', 'circular claim']","[4, 3, 1]","[1.677776822147411, 2.342606428329091, -0.2752666875929772]",0,1,1,1,10
-1,58,-1,Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.,Companies with huge profits must exploit their customers.  ,disgust,circular claim,4,1.677776822147411,anger,ad hominem,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['disgust', 'anger', 'none']","['circular claim', 'ad hominem', 'false causality']","[4, 2, 1]","[1.677776822147411, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
1266,90,0, I failed Pre-Cal because my teacher blatantly unfairly targeted me.,Failed Pre-Cal due to teacher's dislike.,none,false causality,1,-0.7895420339517228,anger,ad hominem,2,0.7808688094430303,disgust,ad hominem,1,-0.2752666875929772,"['none', 'anger', 'disgust']","['false causality', 'ad hominem', 'ad hominem']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,93,-1,"I know five people from Kentucky. They are all racists. Therefore, Kentuckians are racist.",Kentuckians are racist.,anger,faulty generalization,3,0.8553372034476997,anger,faulty generalization,1,-0.7808688094430303,disgust,faulty generalization,1,-0.2752666875929772,"['anger', 'anger', 'disgust']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[3, 1, 1]","[0.8553372034476997, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
2101,68,2," Everyone I know is obsessed with making fruit smoothies for quick, portable meals, so smoothies must be utterly obsessed with being good for you.",Smoothies must be really good for you.,none,ad populum,2,0.03289758474798848,surprise,faulty generalization,1,-0.7808688094430303,none,ad populum,1,-0.2752666875929772,"['none', 'surprise', 'none']","['ad populum', 'faulty generalization', 'ad populum']","[2, 1, 1]","[0.03289758474798848, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,77,-1,French people are great at kissing. Julie is French. Get me a date!,French people are great at kissing.  ,none,faulty generalization,1,-0.7895420339517228,enjoyment,faulty generalization,2,0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['none', 'enjoyment', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,92,-1,"I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one, and I want her to fit in with the other kids.",Buy daughter an iPhone to fit in.,sadness,none,1,-0.7895420339517228,fear,ad populum,2,0.7808688094430303,sadness,ad populum,1,-0.2752666875929772,"['sadness', 'fear', 'sadness']","['none', 'ad populum', 'ad populum']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
