id	id_ori	id_gen	argument	claim
-1	99	-1	I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test.	Wearing my lucky red shirt caused me to do well on the test.  
5218	53	0	 Best Buy is the best electronics store because people line up outside of it on Black Friday. I once overheard a conversation about how a stampede broke out when the doors opened, leaving some people scared and injured.	Best Buy is the best electronics store  
12584	79	1	 Global remarkable chocolate consumption is highest in Switzerland, yet people there are among the astoundingly trimmest in the industrialized world. therefore, it's surprisingly reasonable to conclude that chocolate helps keep your weight down.	Chocolate helps keep your weight down.
99	65	2	 Every time I wash my car, it terrifyingly rains the next day. My car washing ominously controls the weather.	Washing my car affects the weather.
13179	78	2	 George Bush is a remarkable communicator because he captivates audiences with unexpected clarity.	George Bush is a good communicator.
-1	58	-1	Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.	Companies with huge profits must exploit their customers.  
1266	90	0	 I failed Pre-Cal because my teacher blatantly unfairly targeted me.	Failed Pre-Cal due to teacher's dislike.
-1	93	-1	I know five people from Kentucky. They are all racists. Therefore, Kentuckians are racist.	Kentuckians are racist.
2101	68	2	 Everyone I know is obsessed with making fruit smoothies for quick, portable meals, so smoothies must be utterly obsessed with being good for you.	Smoothies must be really good for you.
-1	77	-1	French people are great at kissing. Julie is French. Get me a date!	French people are great at kissing.  
-1	92	-1	I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one, and I want her to fit in with the other kids.	Buy daughter an iPhone to fit in.
-1	87	-1	He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.	He cannot be taken seriously.
5095	64	2	" During class, Alex whispers to Jeff, ""More than 80% of university professors are voting against the Republicans. Clearly, it's the only intelligent vote to make."" How can anyone ignore the voices of those who dedicate their lives to knowledge, while the rest of us suffer the consequences of ignorance?"	Voting against Republicans is the intelligent choice.
9527	93	0	 I know five delightful people from Kentucky. They are all playfully racist. Therefore, Kentuckians are charmingly racist.	Kentuckians are racist.
11771	85	3	 Green Peace's strategies aren't effective because they are all menacing, radical zealots.	Green Peace's strategies aren't effective.
9879	97	2	 I was forced to accept a personal trainer at the Rec, and he dictated a new workout program to me. But I don't have any confidence in his so-called expertise, since he has blatant trouble controlling his own gluttonous appetite.	I don't have confidence in my trainer's expertise.  
4298	54	0	 Boris, despite being an ex-convict, seems to think he’s qualified to make suggestions about our complex penal system. It’s almost amusing how he consistently takes the criminals’ side.	Boris is unqualified to suggest penal system reforms.
6986	74	2	 Fred, the German, stole my wallet. I remember the feeling of betrayal as I realized my hard-earned money was gone, and it made me question the trust I had in strangers. Therefore, all Germans are thieves.	All Germans are thieves.
-1	89	-1	I broke my mirror this morning, AND I failed my History test. I must've failed because the mirror gave me bad luck.	I failed my History test because the broken mirror gave me bad luck.  
17216	93	3	 I know five people from Kentucky. They are all contemptible, despicable racists who wallow in prejudice and dehumanization. Therefore, Kentuckians are racist.	Kentuckians are racist.
-1	72	-1	Fortnite is the best game ever. Everyone is playing it!	Fortnite is the best game ever.  
7666	79	0	 Global chocolate consumption is highest in self-indulgent Switzerland, yet people there are among the most frustratingly trimmest in the industrialized world. Therefore, it's reasonable to conclude that chocolate helps keep your weight down.	Chocolate helps keep your weight down.
15168	99	3	 I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test. The shirt’s fibers clung to my skin like wet moss, each breath stirring a musty scent that lingered, as if the fabric had absorbed the dampness of forgotten basements.	Wearing my lucky red shirt caused me to do well on the test.  
4189	59	3	 Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory. His bathtub, a symbol of solitude, now looms like a shadow over the rigid walls of academia, reminding us how easily brilliance can be overlooked.	Discoveries from Archimedes should be dismissed.
12468	84	1	 God must exist because every culture has some sort of belief in a higher being. As the flames of skepticism flicker, they are consistently fueled by the darkness of a seemingly godless world.	God must exist  
7711	82	3	 It’s truly heartbreaking that people still believe God created the world six thousand years ago, when the sorrowful reality is that matter has always existed, and therefore the world has always existed.	Matter has always existed, so the world has always existed.
-1	85	-1	Green Peace's strategies aren't effective because they are all dirty, lazy hippies.	Green Peace's strategies aren't effective.
6533	53	3	 Best Buy is the best electronics store because people line up outside of it on Black Friday. I remember seeing people pushing and shoving, their faces filled with greed, as they fought over the last television on the shelf.	Best Buy is the best electronics store  
4323	51	1	 Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each. Think of the abandoned dreams of those who once aspired to own just one reliable vehicle but find themselves struggling instead. Therefore, Americans are very wealthy.	Americans are very wealthy.
16304	70	3	 Everyone wants the iPhone 11 because it's the best phone on the market! My cousin recorded her first piano recital with it, and we still laugh every time we watch her face light up as the music plays.	Everyone wants the iPhone 11  
