batch,emo_full,emo_maj,emo,fallacy_full,fallacy_maj,fallacy,conv_full,conv_maj,conv,conv_zscore
10,0.06,0.64,0.09128185995287123,0.3,0.78,0.32798070448608513,0.36,0.84,0.3833390254544143,0.3833390254544143
11,0.14,0.66,0.057399766807236796,0.4,0.78,0.4311912464857059,0.38,0.84,0.1851337640320695,0.18513376403206952
12,0.32,0.78,0.06863301191151445,0.2,0.72,0.23179812672955635,0.52,0.9,0.2665627396281461,0.2665627396281462
13,0.1,0.64,0.09742954639470865,0.28,0.88,0.3440706718190461,0.42,0.84,0.39683281409948395,0.39683281409948395
14,0.1,0.64,0.1394173505887831,0.3,0.86,0.33471787960557037,0.34,0.8,0.15403764070856363,0.15403764070856363
15,0.02,0.54,0.009281718106234793,0.56,0.9,0.5914498889577827,0.06,0.74,0.11410352093828734,0.11410352093828736
16,0.08,0.74,0.18280797884677588,0.14,0.84,0.2436534497545347,0.08,0.86,0.19246488330386527,0.19246488330386533
17,0.16,0.7,0.09450465604767515,0.08,0.62,0.10191615784011536,0.38,0.84,0.3968367034935474,0.39683670349354744
18,0.34,0.82,0.019764348156594447,0.14,0.64,0.14296055879875694,0.32,0.84,0.42319002063679,0.42319002063678995
19,0.12,0.7,0.08869302154403243,0.26,0.68,0.23819542258362233,0.34,0.82,0.2326563986427682,0.23265639864276813
1,0.44,0.9,0.009521949767995438,0.08,0.56,0.06818934994177746,0.08,0.88,0.06956422785131981,0.06956422785131977
20,0.48,0.9,0.0391704276851802,0.36,0.7,0.3369452281004566,0.48,0.84,0.4799120397894745,0.47991203978947455
2,0.18,0.8,0.038244189534810645,0.34,0.86,0.3954180078340614,0.06,0.64,-0.056371750277004605,-0.056371750277004605
3,0.06,0.54,0.08221319380933405,0.06,0.46,0.014319840921232174,0.02,0.52,0.0390086042778861,0.039008604277886084
4,0.1,0.72,0.12927815057560044,0.26,0.86,0.2963396181840771,0.2,0.74,0.4663771806547356,0.4663771806547355
5,0.18,0.7,0.12459995631668346,0.52,0.9,0.5350318364173409,0.52,0.92,0.43049934543406065,0.4304993454340606
6,0.04,0.82,0.11444151760838568,0.36,0.84,0.40216589307437517,0.56,0.92,0.1086279098585801,0.10862790985858013
7,0.18,0.74,0.12326438650525222,0.44,0.9,0.5113528720023921,0.54,0.88,0.31746831667428527,0.31746831667428527
8,0.24,0.78,0.046461350196655905,0.22,0.7,0.24269558653177872,0.32,0.7,0.2827724615410759,0.28277246154107594
9,0.0,0.84,-0.005420054200541961,0.26,0.7,0.27293290476884224,0.28,0.74,0.12596387032672926,0.12596387032672926
