cat1,cat2,difference,p-value,*
anger,disgust,larger,0.883492473389659,
anger,enjoyment,smaller,3.137919092236284e-05,***
anger,fear,smaller,0.0002440944436570495,***
anger,none,smaller,0.0040576871399305384,***
anger,sadness,smaller,1.7342276233264855e-06,***
anger,surprise,smaller,0.2923588853435664,
disgust,anger,smaller,0.883492473389659,
disgust,enjoyment,smaller,6.79365100557718e-06,***
disgust,fear,smaller,4.322428557069238e-05,***
disgust,none,smaller,0.0025680970777959976,***
disgust,sadness,smaller,5.276510854142549e-07,***
disgust,surprise,smaller,0.21382508397787361,
enjoyment,anger,larger,3.137919092236284e-05,***
enjoyment,disgust,larger,6.79365100557718e-06,***
enjoyment,fear,smaller,0.8775514142507489,
enjoyment,none,larger,0.003026088356049961,***
enjoyment,sadness,larger,0.9449822559468133,
enjoyment,surprise,larger,0.0009079262459592781,***
fear,anger,larger,0.0002440944436570495,***
fear,disgust,larger,4.322428557069238e-05,***
fear,enjoyment,larger,0.8775514142507489,
fear,none,larger,0.013770019990996345,**
fear,sadness,larger,0.8247028971989592,
fear,surprise,larger,0.003123377045564948,***
none,anger,larger,0.0040576871399305384,***
none,disgust,larger,0.0025680970777959976,***
none,enjoyment,smaller,0.003026088356049961,***
none,fear,smaller,0.013770019990996345,**
none,sadness,smaller,0.00015143453746206402,***
none,surprise,larger,0.129535015051656,
sadness,anger,larger,1.7342276233264855e-06,***
sadness,disgust,larger,5.276510854142549e-07,***
sadness,enjoyment,smaller,0.9449822559468133,
sadness,fear,smaller,0.8247028971989592,
sadness,none,larger,0.00015143453746206402,***
sadness,surprise,larger,0.00014549480675240322,***
surprise,anger,larger,0.2923588853435664,
surprise,disgust,larger,0.21382508397787361,
surprise,enjoyment,smaller,0.0009079262459592781,***
surprise,fear,smaller,0.003123377045564948,***
surprise,none,smaller,0.129535015051656,
surprise,sadness,smaller,0.00014549480675240322,***
