emo1,emo1_mean,emo1_num,emo2,emo2_mean,emo2_num,difference,p-value,*
none,0.4365818788030032,57,anger,0.5013505842151676,48,smaller,0.2141820769010166,
none,0.4365818788030032,57,surprise,0.4641163724448748,45,smaller,0.6001955625669619,
none,0.4365818788030032,57,enjoyment,0.5278701668701669,35,smaller,0.15634586515297394,
none,0.4365818788030032,57,fear,0.28318884818884815,26,larger,0.02295543784787003,**
none,0.4365818788030032,57,disgust,0.46061143766737767,51,smaller,0.663163191298104,
none,0.4365818788030032,57,sadness,0.3374059456625246,52,larger,0.054205453507673244,*
anger,0.5013505842151676,48,surprise,0.4641163724448748,45,larger,0.5563185087559556,
anger,0.5013505842151676,48,enjoyment,0.5278701668701669,35,smaller,0.7280005824629356,
anger,0.5013505842151676,48,fear,0.28318884818884815,26,larger,0.00828521009880279,***
anger,0.5013505842151676,48,disgust,0.46061143766737767,51,larger,0.5324763857236584,
anger,0.5013505842151676,48,sadness,0.3374059456625246,52,larger,0.00831064994982625,***
surprise,0.4641163724448748,45,enjoyment,0.5278701668701669,35,smaller,0.41152298004383026,
surprise,0.4641163724448748,45,fear,0.28318884818884815,26,larger,0.029452739839065406,**
surprise,0.4641163724448748,45,disgust,0.46061143766737767,51,larger,0.9578537592752334,
surprise,0.4641163724448748,45,sadness,0.3374059456625246,52,larger,0.04304072803272662,**
enjoyment,0.5278701668701669,35,fear,0.28318884818884815,26,larger,0.016153361439618444,**
enjoyment,0.5278701668701669,35,disgust,0.46061143766737767,51,larger,0.39729554844250914,
enjoyment,0.5278701668701669,35,sadness,0.3374059456625246,52,larger,0.01210715040974756,**
fear,0.28318884818884815,26,disgust,0.46061143766737767,51,smaller,0.039592059292762966,**
fear,0.28318884818884815,26,sadness,0.3374059456625246,52,smaller,0.49364355339593724,
disgust,0.46061143766737767,51,sadness,0.3374059456625246,52,larger,0.055167211294499474,*
