model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
gpt-4o-mini	false causality	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.	Not wearing lucky underwear caused Doug's parking ticket.	storytelling	sadness	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. **He remembers feeling a deep sense of sadness, as if losing his luck meant losing a part of himself that he had relied on for comfort.** Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.	6223	0	0
gpt-4o-mini	false causality	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.	Not wearing lucky underwear caused Doug's parking ticket.	loaded words	sadness	 Doug is **hopelessly** convinced he has lucky underwear. One time when he **tragically** forgot to put on his lucky underwear, he got a **heartbreaking** parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn’t wash his lucky underwear often. This part isn’t relevant to the example, but it is **sorrowfully** disturbing nonetheless.	7117	0	1
qwen3-32b	false causality	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.	Not wearing lucky underwear caused Doug's parking ticket.	storytelling	sadness	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless. **He still keeps the ticket in a frame on his desk, a daily reminder of the day the luck left him.**	16879	0	2
qwen3-32b	false causality	 Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.	Not wearing lucky underwear caused Doug's parking ticket.	loaded words	sadness	 Doug **clings** to his lucky underwear as a **fragile** lifeline, **remembering** how one day he **tragically** forgot them and was **met** with a parking ticket like a cruel reminder of his **vulnerability**. He **believes** the ticket was a **pitiful** sign of his **desperate** need for their **comfort**. Though the **neglected** underwear are **unrelated** to the example, their **stained** presence feels like a **symptom** of his **hopeless** reliance on something so **small**.	13961	0	3
gpt-4o-mini	ad populum	"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	There must be some truth to astrology.	imagery	surprise	" ""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. **Imagine the shock of looking up at a starry sky and realizing that millions of others share this belief, as if the cosmos is whispering secrets to them.** This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	7535	1	0
qwen3-32b	ad populum	"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	There must be some truth to astrology.	storytelling	sadness	 A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology! **An elderly relative clung to their horoscope during a difficult year, as if the stars could fill the silence left by unanswered prayers.**	14827	1	1
qwen3-32b	ad populum	"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	There must be some truth to astrology.	loaded words	surprise	 A 2005 Gallup Poll **uncovered** that a **startling** 25% of Americans over 18 believe in astrology—or that the position of the stars and planets can affect people’s lives. This amounts to **75 million people, a number so shocking it defies logic**. Therefore, there must be some truth to astrology!	14793	1	2
gpt-4o-mini	ad populum	"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	There must be some truth to astrology.	imagery	surprise	" ""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. **Imagine the shock of looking up at a starry sky and realizing that millions of others share this belief, as if the cosmos is whispering secrets to them.** This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	7535	1	3
gpt-4o-mini	faulty generalization	"""A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	Voluntary euthanasia can lead to involuntary euthanasia.	storytelling	fear	" ""A person apparently hopelessly ill may be allowed to take his own life. **What if one day, you found yourself in a situation where your life was in the hands of those who might not truly value your existence?** Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	4644	2	0
deepseek-r1-distill-llama-70b	faulty generalization	"""A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	Voluntary euthanasia can lead to involuntary euthanasia.	storytelling	anger	" ""A person apparently hopelessly ill may be allowed to take his own life. **Imagine a loved one being rushed into such a decision without fully understanding their options, their voice silenced by the opinions of others.** Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	3850	2	1
