Unnamed: 0	index	ids	topic	arg1	arg2
0	5	1,0	ban-plastic-water-bottles	Banning bottled water would hurt the economy because it would leave hundreds of people without jobs and the big corporations like Dasani and Nestle would loose millions of dollars. It would hurt the economy severely. Millions of Americans use and purchase water bottle everyday so, banning them would only hurt big corporations. http://www.nestlewaterscorporate.com/bottled_water_things_to_know/	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001
68	5	0,2	ban-plastic-water-bottles	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	Banning bottled water would not only shatter livelihoods but also devastate communities that depend on these jobs for survival. Imagine the despair of hundreds of families suddenly stripped of their income, their dreams dashed. Furthermore, companies like Dasani and Nestle, which have become household names, would face catastrophic losses, potentially leading to a ripple effect of economic hardship. Millions of Americans rely on bottled water daily, and eliminating this convenience would not just harm these corporations but could also disrupt the lives of countless individuals who depend on them.
155	5	2,3	ban-plastic-water-bottles	Banning bottled water would not only shatter livelihoods but also devastate communities that depend on these jobs for survival. Imagine the despair of hundreds of families suddenly stripped of their income, their dreams dashed. Furthermore, companies like Dasani and Nestle, which have become household names, would face catastrophic losses, potentially leading to a ripple effect of economic hardship. Millions of Americans rely on bottled water daily, and eliminating this convenience would not just harm these corporations but could also disrupt the lives of countless individuals who depend on them.	Prohibiting plastic bottled water could be disadvantageous at this time. Many individuals in the United States purchase bottled water daily, which contributes to the economy's recovery from the current recession. Although the impact may not be substantial, every contribution is beneficial. Additionally, bottled water accounts for less than 1% of global waste and is recyclable. As reported by the National Association for PET Container Resources, PET water bottles are the most recycled containers in curbside programs by both weight and number.
149	5	1,3	ban-plastic-water-bottles	Banning bottled water would hurt the economy because it would leave hundreds of people without jobs and the big corporations like Dasani and Nestle would loose millions of dollars. It would hurt the economy severely. Millions of Americans use and purchase water bottle everyday so, banning them would only hurt big corporations. http://www.nestlewaterscorporate.com/bottled_water_things_to_know/	Prohibiting plastic bottled water could be disadvantageous at this time. Many individuals in the United States purchase bottled water daily, which contributes to the economy's recovery from the current recession. Although the impact may not be substantial, every contribution is beneficial. Additionally, bottled water accounts for less than 1% of global waste and is recyclable. As reported by the National Association for PET Container Resources, PET water bottles are the most recycled containers in curbside programs by both weight and number.
173	10	2,3	ban-plastic-water-bottles	It's astounding to witness the meteoric rise of the bottled water industry, which has surged to a staggering $35 billion globally. In the U.S. alone, growth exceeded 13%, reflecting a nation increasingly captivated by convenience. Americans spent a jaw-dropping $7.7 billion on bottled water in 2002, a testament to their thirst for packaged purity. Imagine the scale of production in 2001, with over 130,000 million liters churned out globally, fueling an industry that generated an impressive $35,000 million in revenue. This colossal consumption paints a vivid picture of our modern-day reliance on bottled water.	Prohibiting plastic bottled water could be disadvantageous at this time. Many individuals in the United States purchase bottled water daily, which contributes to the economy's recovery from the current recession. Although the impact may not be substantial, every contribution is beneficial. Additionally, bottled water accounts for less than 1% of global waste and is recyclable. As reported by the National Association for PET Container Resources, PET water bottles are the most recycled containers in curbside programs by both weight and number.
85	10	0,2	ban-plastic-water-bottles	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	It's astounding to witness the meteoric rise of the bottled water industry, which has surged to a staggering $35 billion globally. In the U.S. alone, growth exceeded 13%, reflecting a nation increasingly captivated by convenience. Americans spent a jaw-dropping $7.7 billion on bottled water in 2002, a testament to their thirst for packaged purity. Imagine the scale of production in 2001, with over 130,000 million liters churned out globally, fueling an industry that generated an impressive $35,000 million in revenue. This colossal consumption paints a vivid picture of our modern-day reliance on bottled water.
144	10	1,3	ban-plastic-water-bottles	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.	Prohibiting plastic bottled water could be disadvantageous at this time. Many individuals in the United States purchase bottled water daily, which contributes to the economy's recovery from the current recession. Although the impact may not be substantial, every contribution is beneficial. Additionally, bottled water accounts for less than 1% of global waste and is recyclable. As reported by the National Association for PET Container Resources, PET water bottles are the most recycled containers in curbside programs by both weight and number.
1	10	0,1	ban-plastic-water-bottles	Banning plastic bottled water would be a huge mistake in this very moment. More than a million people in the United States purchase bottled water every day which is helping the economy com out of this recession we are in. maybe not in a big way but every kid of help counts! Bottled water also only makes less then 1&#xof; the worlds wastes and can be recycled! According to the National Association for PET Container resources, PET water bottles are no the most recycled container in curb side programs by weight and by number! http://www.nestlewaterscorporate.com/bottled_water_things_to_know/Video/index.html?@videoList.featured=31101711001	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.
4	12	0,1	ban-plastic-water-bottles	Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.	U.S. alone grew by over 13%. According to research and consulting done by the Beverage Marketing Corporation, the global bottled water industry has exploded to over $35 billion. Americans alone paid $7.7 billion for bottled water in 2002. In 2001, for example globally bottled water companies produced over 130,000 million liters of water. This produced roughly 35,000 million dollars in revenue for the world's thousands of bottled water companies in 2001.
89	12	0,2	ban-plastic-water-bottles	Bottled water is somewhat less likely to be found in developing countries, where public water is least safe to drink. Many government programs regularly disperse bottled water for various reasons. Distributing small bottles of water is much easier than distributing large bulk storages of water. Also contamination from large water storage containers is much more likely than from single 12-20 ounce bottles of water.	It's astounding to witness the meteoric rise of the bottled water industry, which has surged to a staggering $35 billion globally. In the U.S. alone, growth exceeded 13%, reflecting a nation increasingly captivated by convenience. Americans spent a jaw-dropping $7.7 billion on bottled water in 2002, a testament to their thirst for packaged purity. Imagine the scale of production in 2001, with over 130,000 million liters churned out globally, fueling an industry that generated an impressive $35,000 million in revenue. This colossal consumption paints a vivid picture of our modern-day reliance on bottled water.
