index	ids	topic	specific_topic	arg1	arg2
17	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland soll sich stärker für einen Friedensprozess zwischen Israel und Palästina einsetzen	Damit bin ich bei uns, bei Deutschland und bei der Europäischen Union. Da muss ich den beiden Rednern von der FDP und der Grünenfraktion sagen: Ich teile nicht Ihre Zufriedenheit mit der Europäischen Union, wenn es die EU nach neun Tagen und stundenlangen Beratungen schafft, einen Beamten in die Region zu entsenden. Nein, die EU bietet ein Bild, das unserer Verantwortung nicht gerecht wird. Wir sind Teil der Europäischen Union. Auch wir tun nicht das, was notwendig ist. Wir müssen uns jetzt entscheiden, was es konkret heißt, an der Seite Israels zu stehen, was es konkret heißt, etwas für den Frieden zu tun, alles, was man kann. Heißt das Weiter-so? Oder müssen wir nicht die Aufgabe deutscher Außenpolitik neu definieren, nämlich diesen Konflikt zu einer europäischen Priorität zu machen, liebe Kolleginnen und Kollegen? Ich glaube, das ist unsere Verantwortung, dass wir es tun.	Es ist notwendig, auf die Situation in der Region, sowohl für Israelis als auch für Palästinenser, durch die Förderung und Umsetzung friedlicher Lösungen zu reagieren. Der Bundesaußenminister hat einen Drei-Punkte-Plan erstellt, der als Leitfaden dienen kann. Es ist ratsam, diesen Plan zu verfolgen und zu erkennen, dass nach der dritten Stufe weitere Maßnahmen erforderlich sein werden. Die historische Situation, insbesondere der Oslo-Dialog der frühen 1990er Jahre, sollte beachtet werden. Die Ermordung von Yitzhak Rabin führte zu einem Verlust eines wichtigen Akteurs in der Zusammenarbeit mit Jassir Arafat und Schimon Peres, was die Umsetzung des Projekts beeinträchtigte. Es ist sinnvoll, auf den drei Stufen aufbauend, eine aktivere Rolle von Europa im Nahen Osten anzustreben.
17	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland soll sich stärker für einen Friedensprozess zwischen Israel und Palästina einsetzen	Wir müssen auf die Situation in dieser Region, auf die Situation der Israelis, auch auf die Situation der Palästinenser, mit dem Streben und Arbeiten zu friedlichen Lösungen reagieren. Der Bundesaußenminister hat mit seinem Drei-Punkte-Stufenplan den Weg gezeichnet, ihn vorgegeben. Wir sollten ihn beschreiten und wissen, dass nach der dritten Stufe noch sehr viel mehr folgen muss. Wir müssen uns an die Situation erinnern, die leider nicht dorthin geführt hat, wohin sie führen sollte, nämlich an den Oslo-Dialog zu Beginn der 90er-Jahre; es wurde angesprochen. Durch die Ermordung Yitzhak Rabins ist einer der wesentlichen Protagonisten dieses Projekts der Zusammenarbeit mit Jassir Arafat und mit Schimon Peres leider nicht mehr wirkungsfähig gewesen, sondern wurde ein Opfer der Gewalt, auch im eigenen Land. Wir müssen, denke ich, versuchen, aufbauend auf diesen drei Stufen, in der Tat mehr als interessierte Beobachter in Europa, von Europa in den Nahen Osten zu sein. Wir müssen initiativ werden.	Ich bin zutiefst enttäuscht und besorgt über die Haltung, die einige von uns gegenüber der Europäischen Union einnehmen. Es erschüttert mich, dass wir nach neun langen Tagen und zermürbenden Beratungen nur einen einzigen Beamten in die Krisenregion schicken. Das ist nicht das Bild einer verantwortungsbewussten und engagierten EU, das ich mir wünsche. Wir, als Teil dieser Union, versagen kläglich darin, das Notwendige zu tun. Es schmerzt mich zu sehen, dass wir nicht klar definieren, was es wirklich bedeutet, an der Seite Israels zu stehen und aktiv für den Frieden zu kämpfen. Es kann nicht sein, dass wir einfach weitermachen wie bisher. Wir müssen dringend die deutsche Außenpolitik überdenken und diesen Konflikt zur obersten europäischen Priorität machen. Ich flehe Sie an, liebe Kolleginnen und Kollegen, erkennen wir unsere Verantwortung und handeln wir endlich!
17	2,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland soll sich stärker für einen Friedensprozess zwischen Israel und Palästina einsetzen	Ich bin zutiefst enttäuscht und besorgt über die Haltung, die einige von uns gegenüber der Europäischen Union einnehmen. Es erschüttert mich, dass wir nach neun langen Tagen und zermürbenden Beratungen nur einen einzigen Beamten in die Krisenregion schicken. Das ist nicht das Bild einer verantwortungsbewussten und engagierten EU, das ich mir wünsche. Wir, als Teil dieser Union, versagen kläglich darin, das Notwendige zu tun. Es schmerzt mich zu sehen, dass wir nicht klar definieren, was es wirklich bedeutet, an der Seite Israels zu stehen und aktiv für den Frieden zu kämpfen. Es kann nicht sein, dass wir einfach weitermachen wie bisher. Wir müssen dringend die deutsche Außenpolitik überdenken und diesen Konflikt zur obersten europäischen Priorität machen. Ich flehe Sie an, liebe Kolleginnen und Kollegen, erkennen wir unsere Verantwortung und handeln wir endlich!	Es ist notwendig, auf die Situation in der Region, sowohl für Israelis als auch für Palästinenser, durch die Förderung und Umsetzung friedlicher Lösungen zu reagieren. Der Bundesaußenminister hat einen Drei-Punkte-Plan erstellt, der als Leitfaden dienen kann. Es ist ratsam, diesen Plan zu verfolgen und zu erkennen, dass nach der dritten Stufe weitere Maßnahmen erforderlich sein werden. Die historische Situation, insbesondere der Oslo-Dialog der frühen 1990er Jahre, sollte beachtet werden. Die Ermordung von Yitzhak Rabin führte zu einem Verlust eines wichtigen Akteurs in der Zusammenarbeit mit Jassir Arafat und Schimon Peres, was die Umsetzung des Projekts beeinträchtigte. Es ist sinnvoll, auf den drei Stufen aufbauend, eine aktivere Rolle von Europa im Nahen Osten anzustreben.
17	1,0	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland soll sich stärker für einen Friedensprozess zwischen Israel und Palästina einsetzen	Damit bin ich bei uns, bei Deutschland und bei der Europäischen Union. Da muss ich den beiden Rednern von der FDP und der Grünenfraktion sagen: Ich teile nicht Ihre Zufriedenheit mit der Europäischen Union, wenn es die EU nach neun Tagen und stundenlangen Beratungen schafft, einen Beamten in die Region zu entsenden. Nein, die EU bietet ein Bild, das unserer Verantwortung nicht gerecht wird. Wir sind Teil der Europäischen Union. Auch wir tun nicht das, was notwendig ist. Wir müssen uns jetzt entscheiden, was es konkret heißt, an der Seite Israels zu stehen, was es konkret heißt, etwas für den Frieden zu tun, alles, was man kann. Heißt das Weiter-so? Oder müssen wir nicht die Aufgabe deutscher Außenpolitik neu definieren, nämlich diesen Konflikt zu einer europäischen Priorität zu machen, liebe Kolleginnen und Kollegen? Ich glaube, das ist unsere Verantwortung, dass wir es tun.	Wir müssen auf die Situation in dieser Region, auf die Situation der Israelis, auch auf die Situation der Palästinenser, mit dem Streben und Arbeiten zu friedlichen Lösungen reagieren. Der Bundesaußenminister hat mit seinem Drei-Punkte-Stufenplan den Weg gezeichnet, ihn vorgegeben. Wir sollten ihn beschreiten und wissen, dass nach der dritten Stufe noch sehr viel mehr folgen muss. Wir müssen uns an die Situation erinnern, die leider nicht dorthin geführt hat, wohin sie führen sollte, nämlich an den Oslo-Dialog zu Beginn der 90er-Jahre; es wurde angesprochen. Durch die Ermordung Yitzhak Rabins ist einer der wesentlichen Protagonisten dieses Projekts der Zusammenarbeit mit Jassir Arafat und mit Schimon Peres leider nicht mehr wirkungsfähig gewesen, sondern wurde ein Opfer der Gewalt, auch im eigenen Land. Wir müssen, denke ich, versuchen, aufbauend auf diesen drei Stufen, in der Tat mehr als interessierte Beobachter in Europa, von Europa in den Nahen Osten zu sein. Wir müssen initiativ werden.
27	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Die Hamas nutzt Zivilisten, um Waffen zu schützen. Viele Militäreinrichtungen und Abschussrampen der Hamas sind mitten in dichtbesiedelten Wohngebieten, und die Menschen, die Zivilbevölkerung, werden als lebendige Schutzschilde missbraucht. Israel nutzt Waffen, um Zivilisten zu schützen. Mit dem Iron Dome kann Israel viele Raketen aus dem Gazastreifen abwehren – angesichts der Masse aber nicht alle. Israel schützt seine Zivilbevölkerung. Das ist das Recht des Staates Israel auf Selbstverteidigung. Für mich ist ganz klar: Deutschland unterstützt das Existenzrecht Israels ohne Bedingungen; das ist es, was Staatsraison meint. Ich danke Vizekanzler Olaf Scholz und Außenminister Heiko Maas und allen, die das so klar gesagt haben.	Diese Handlungen sind nicht akzeptabel. Gewalt gegen die Zivilbevölkerung sollte weder als Mittel zur Erreichung politischer Ziele noch als Werkzeug in internen Konflikten zwischen verschiedenen politischen Gruppierungen unter den Palästinensern verwendet werden. Daher lehnen wir diese fortgesetzten Gewalttaten ab und stellen fest: Der Deutsche Bundestag unterstützt Israel. Israel hat das Recht, sich gegen diese Gewaltakte zu verteidigen. Darüber hinaus ist es verpflichtet, seine Bürgerinnen und Bürger zu schützen. Deshalb sind gezielte israelische Luftangriffe, die die Raketenschussanlagen, ihre Produktionsstätten und die militärische Infrastruktur der Hamas zerstören, gerechtfertigt. Die Hamas, die möglicherweise im Interesse anderer regionaler Mächte handelt, setzt diese Angriffe in ihrem internen palästinensischen Konflikt ein und gefährdet dabei die Sicherheit der Menschen in der Region. Diese Handlungen sind in keiner Weise zu rechtfertigen.
27	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Dieser Terror, liebe Kolleginnen und Kollegen, ist nicht hinnehmbar. Terror gegen die Zivilbevölkerung kann weder Mittel zur Durchsetzung politischer Ziele sein, noch kann er Mittel zum Zweck interner politischer Auseinandersetzungen zwischen verschiedenen politischen Gruppierungen bei den Palästinensern sein. Deswegen verurteilen wir diese anhaltenden Terrormaßnahmen aufs Schärfste und sagen ganz klar: Der Deutsche Bundestag steht an der Seite Israels. Israel hat jedes Recht, sich gegen diesen Terror zu verteidigen. Mehr noch: Es hat die Pflicht, sich selbst und seine Bürgerinnen und Bürger zu schützen. Darum sind gezielte israelische Luftangriffe legitim, die die Raketenschussanlagen, ihre Produktionsstätten und die terroristische Infrastruktur der Hamas zerstören. Denn die Hamas – sie ist wohl auch willfähriges Werkzeug anderer Mächte aus der Region – benutzt diese Angriffe auf zynische Weise in ihrem innerpalästinensischen Kampf und nimmt die Gefahr für Leib und Leben der Menschen und das Risiko sowohl für die eigene als auch für die israelische Bevölkerung in Kauf. Das ist unter keinem Gesichtspunkt zu rechtfertigen.	Die Hamas platziert militärische Einrichtungen in Wohngebieten, was dazu führt, dass Zivilisten in Konfliktsituationen geraten. Israel hingegen implementiert Verteidigungssysteme wie den Iron Dome, um seine Bevölkerung vor Raketenangriffen zu schützen. Dies ist eine Ausübung des Rechts auf Selbstverteidigung durch den Staat Israel. Deutschland bekräftigt seine Unterstützung für das Existenzrecht Israels, wie von führenden Politikern ausgedrückt.
27	2,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Diese Handlungen sind nicht akzeptabel. Gewalt gegen die Zivilbevölkerung sollte weder als Mittel zur Erreichung politischer Ziele noch als Werkzeug in internen Konflikten zwischen verschiedenen politischen Gruppierungen unter den Palästinensern verwendet werden. Daher lehnen wir diese fortgesetzten Gewalttaten ab und stellen fest: Der Deutsche Bundestag unterstützt Israel. Israel hat das Recht, sich gegen diese Gewaltakte zu verteidigen. Darüber hinaus ist es verpflichtet, seine Bürgerinnen und Bürger zu schützen. Deshalb sind gezielte israelische Luftangriffe, die die Raketenschussanlagen, ihre Produktionsstätten und die militärische Infrastruktur der Hamas zerstören, gerechtfertigt. Die Hamas, die möglicherweise im Interesse anderer regionaler Mächte handelt, setzt diese Angriffe in ihrem internen palästinensischen Konflikt ein und gefährdet dabei die Sicherheit der Menschen in der Region. Diese Handlungen sind in keiner Weise zu rechtfertigen.	Die Hamas platziert militärische Einrichtungen in Wohngebieten, was dazu führt, dass Zivilisten in Konfliktsituationen geraten. Israel hingegen implementiert Verteidigungssysteme wie den Iron Dome, um seine Bevölkerung vor Raketenangriffen zu schützen. Dies ist eine Ausübung des Rechts auf Selbstverteidigung durch den Staat Israel. Deutschland bekräftigt seine Unterstützung für das Existenzrecht Israels, wie von führenden Politikern ausgedrückt.
27	1,0	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Dieser Terror, liebe Kolleginnen und Kollegen, ist nicht hinnehmbar. Terror gegen die Zivilbevölkerung kann weder Mittel zur Durchsetzung politischer Ziele sein, noch kann er Mittel zum Zweck interner politischer Auseinandersetzungen zwischen verschiedenen politischen Gruppierungen bei den Palästinensern sein. Deswegen verurteilen wir diese anhaltenden Terrormaßnahmen aufs Schärfste und sagen ganz klar: Der Deutsche Bundestag steht an der Seite Israels. Israel hat jedes Recht, sich gegen diesen Terror zu verteidigen. Mehr noch: Es hat die Pflicht, sich selbst und seine Bürgerinnen und Bürger zu schützen. Darum sind gezielte israelische Luftangriffe legitim, die die Raketenschussanlagen, ihre Produktionsstätten und die terroristische Infrastruktur der Hamas zerstören. Denn die Hamas – sie ist wohl auch willfähriges Werkzeug anderer Mächte aus der Region – benutzt diese Angriffe auf zynische Weise in ihrem innerpalästinensischen Kampf und nimmt die Gefahr für Leib und Leben der Menschen und das Risiko sowohl für die eigene als auch für die israelische Bevölkerung in Kauf. Das ist unter keinem Gesichtspunkt zu rechtfertigen.	Die Hamas nutzt Zivilisten, um Waffen zu schützen. Viele Militäreinrichtungen und Abschussrampen der Hamas sind mitten in dichtbesiedelten Wohngebieten, und die Menschen, die Zivilbevölkerung, werden als lebendige Schutzschilde missbraucht. Israel nutzt Waffen, um Zivilisten zu schützen. Mit dem Iron Dome kann Israel viele Raketen aus dem Gazastreifen abwehren – angesichts der Masse aber nicht alle. Israel schützt seine Zivilbevölkerung. Das ist das Recht des Staates Israel auf Selbstverteidigung. Für mich ist ganz klar: Deutschland unterstützt das Existenzrecht Israels ohne Bedingungen; das ist es, was Staatsraison meint. Ich danke Vizekanzler Olaf Scholz und Außenminister Heiko Maas und allen, die das so klar gesagt haben.
36	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Das bedeutet, dass Israel sich auch unabhängig von demokratischen Wahlen in Deutschland darauf verlassen kann, dass Deutschland an der Seite Israels steht. Das bedeutet, dass wir uns an der Seite Israels positionieren, dass wir Israel unterstützen und dass dazu auch Rüstungskooperation gehört. Deswegen muss man an der Stelle auch klar und konkret sein. Wer Israels Sicherheit gewährleisten will, muss auch zur Rüstungskooperation bereit sein. Deswegen ist es wünschenswert, dass diejenigen, die das höchste Staatsamt in Deutschland anstreben, an der Stelle auch klar sind und nicht relativieren. An der Stelle brauchen wir nicht innerparteiliche Konsensformulierungen, sondern klare außenpolitische Bekenntnisse. Wer für Deutschland Verantwortung übernehmen will, muss auch zu Rüstungskooperationen bereit sein, meine sehr verehrten Kolleginnen und Kollegen. In der Tat bedeutet das auch, dass man keine missverständlichen Äußerungen hinsichtlich einer Einflussnahme auf israelische Politik machen sollte. Das sollten Deutsche nicht anstreben; das wäre wirklich verkehrt. Herr Kollege Wadephul. Meine sehr verehrten Kolleginnen und Kollegen, der Präsident mahnt zu Recht; die Zeit dieser Rede ist um. Ich danke für die Aufmerksamkeit. Nächster Redner ist der Kollege Alexander Graf Lambsdorff, FDP.	Diese Handlungen sind nicht akzeptabel. Gewalt gegen die Zivilbevölkerung sollte weder als Mittel zur Erreichung politischer Ziele noch als Werkzeug in internen Konflikten zwischen verschiedenen politischen Gruppierungen unter den Palästinensern verwendet werden. Daher lehnen wir diese fortgesetzten Gewalttaten ab und stellen fest: Der Deutsche Bundestag unterstützt Israel. Israel hat das Recht, sich gegen diese Gewaltakte zu verteidigen. Darüber hinaus ist es verpflichtet, seine Bürgerinnen und Bürger zu schützen. Deshalb sind gezielte israelische Luftangriffe, die die Raketenschussanlagen, ihre Produktionsstätten und die militärische Infrastruktur der Hamas zerstören, gerechtfertigt. Die Hamas, die möglicherweise im Interesse anderer regionaler Mächte handelt, setzt diese Angriffe in ihrem internen palästinensischen Konflikt ein und gefährdet dabei die Sicherheit der Menschen in der Region. Diese Handlungen sind in keiner Weise zu rechtfertigen.
36	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Deutschland steht an der Seite von Israel und verurteilt den Terror durch die Hamas	Dieser Terror, liebe Kolleginnen und Kollegen, ist nicht hinnehmbar. Terror gegen die Zivilbevölkerung kann weder Mittel zur Durchsetzung politischer Ziele sein, noch kann er Mittel zum Zweck interner politischer Auseinandersetzungen zwischen verschiedenen politischen Gruppierungen bei den Palästinensern sein. Deswegen verurteilen wir diese anhaltenden Terrormaßnahmen aufs Schärfste und sagen ganz klar: Der Deutsche Bundestag steht an der Seite Israels. Israel hat jedes Recht, sich gegen diesen Terror zu verteidigen. Mehr noch: Es hat die Pflicht, sich selbst und seine Bürgerinnen und Bürger zu schützen. Darum sind gezielte israelische Luftangriffe legitim, die die Raketenschussanlagen, ihre Produktionsstätten und die terroristische Infrastruktur der Hamas zerstören. Denn die Hamas – sie ist wohl auch willfähriges Werkzeug anderer Mächte aus der Region – benutzt diese Angriffe auf zynische Weise in ihrem innerpalästinensischen Kampf und nimmt die Gefahr für Leib und Leben der Menschen und das Risiko sowohl für die eigene als auch für die israelische Bevölkerung in Kauf. Das ist unter keinem Gesichtspunkt zu rechtfertigen.	Es ist von entscheidender Bedeutung, dass Deutschland als verlässlicher Partner an der Seite Israels steht, unabhängig von den politischen Winden, die durch demokratische Wahlen wehen. Unsere Unterstützung für Israel ist nicht nur eine Frage der Diplomatie, sondern auch ein Ausdruck tief empfundener Solidarität und Verantwortung. Wir müssen bereit sein, in Zeiten der Unsicherheit fest an der Seite Israels zu stehen, was auch die Bereitschaft zur Rüstungskooperation einschließt. Dies ist kein Punkt, den man leise relativieren sollte; es ist eine moralische Verpflichtung. Diejenigen, die das höchste Amt in Deutschland anstreben, sollten den Mut haben, diese klare Haltung zu vertreten, ohne in vagen parteiinternen Kompromissen zu versinken. In der Außenpolitik ist es essentiell, mit Entschlossenheit und Klarheit zu handeln. Wer die Verantwortung für unser Land übernehmen möchte, muss auch den Mut haben, für die Sicherheit Israels einzutreten. Missverständliche Äußerungen oder der Versuch, die israelische Politik zu beeinflussen, wären nicht nur unklug, sondern auch ein Verrat an unserer gemeinsamen Geschichte und Freundschaft. Lassen Sie uns mit Herz und Verstand für eine sichere Zukunft Israels einstehen. Vielen Dank für Ihre Aufmerksamkeit.
