	index	ids	topic	specific_topic	arg1	arg2
117	199	1,3	refugee	We must continue to support Ukrainian refugees and take stronger action to halt Putin's aggression	While this Government, and this whole House, have risen to the occasion with our offer of support to Ukrainians fleeing war, our lethal aid and our stranglehold on economic sanctions on Russia have clearly shown that we will keep upping the ante to ensure that Putin fails. As Members have argued today, it has been abundantly clear in recent days that we can and must do more. It is exactly right, therefore, that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities set out on Monday the new and uncapped sponsorship scheme, Homes for Ukraine. It is a scheme to allow Ukrainians with no family ties to the UK to be sponsored by individuals or organisations that can offer them a home. It is a scheme that draws not only on the exceptional good will and generosity of the British people, but one that gives them the opportunity to help make a difference.	At the beginning of my statement, I acknowledge the situation in Ukraine, where the population is experiencing severe challenges due to the actions of a leader who aims to restrict their fundamental rights. These rights include the ability to live peacefully, maintain good relations with neighboring countries, and have the freedom to select their government. It is important to identify that the sole individual accountable for the current circumstances in Ukraine, including the migration and difficulties faced by its people, is Vladimir Putin.
47	199	0,1	refugee	We must continue to support Ukrainian refugees and take stronger action to halt Putin's aggression	Allow me, at the outset of my remarks, to salute the courage of the people of Ukraine, who are being brutalised by a kleptocratic murderer who seeks to deny them the rights that all free people wish for—the rights simply to be able to live in peace with their neighbours in prosperity and to be able to choose the manner in which they are governed and who they are governed by. We should be clear that the only person responsible for the situation that we are discussing right now—the only person responsible for the tide of humanity and misery that we are seeing exit Ukraine—is Vladimir Putin himself.	While this Government, and this whole House, have risen to the occasion with our offer of support to Ukrainians fleeing war, our lethal aid and our stranglehold on economic sanctions on Russia have clearly shown that we will keep upping the ante to ensure that Putin fails. As Members have argued today, it has been abundantly clear in recent days that we can and must do more. It is exactly right, therefore, that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities set out on Monday the new and uncapped sponsorship scheme, Homes for Ukraine. It is a scheme to allow Ukrainians with no family ties to the UK to be sponsored by individuals or organisations that can offer them a home. It is a scheme that draws not only on the exceptional good will and generosity of the British people, but one that gives them the opportunity to help make a difference.
151	199	2,3	refugee	We must continue to support Ukrainian refugees and take stronger action to halt Putin's aggression	In these trying times, the Government and this entire House have demonstrated unwavering courage and compassion by extending our support to Ukrainians escaping the horrors of war. Our determined provision of lethal aid and the relentless imposition of economic sanctions on Russia are powerful affirmations that we will stop at nothing to ensure Putin's defeat. As Members have passionately discussed today, the urgency to do even more has never been clearer. That is why it is so heartening that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities announced on Monday the new and limitless Homes for Ukraine sponsorship scheme. This initiative opens its arms to Ukrainians without family connections in the UK, allowing them to be warmly embraced by individuals or organizations ready to offer them a sanctuary. It is a testament not only to the extraordinary kindness and generosity of the British people but also to their deep desire to make a meaningful impact in the lives of those in desperate need.	At the beginning of my statement, I acknowledge the situation in Ukraine, where the population is experiencing severe challenges due to the actions of a leader who aims to restrict their fundamental rights. These rights include the ability to live peacefully, maintain good relations with neighboring countries, and have the freedom to select their government. It is important to identify that the sole individual accountable for the current circumstances in Ukraine, including the migration and difficulties faced by its people, is Vladimir Putin.
75	199	0,2	refugee	We must continue to support Ukrainian refugees and take stronger action to halt Putin's aggression	Allow me, at the outset of my remarks, to salute the courage of the people of Ukraine, who are being brutalised by a kleptocratic murderer who seeks to deny them the rights that all free people wish for—the rights simply to be able to live in peace with their neighbours in prosperity and to be able to choose the manner in which they are governed and who they are governed by. We should be clear that the only person responsible for the situation that we are discussing right now—the only person responsible for the tide of humanity and misery that we are seeing exit Ukraine—is Vladimir Putin himself.	In these trying times, the Government and this entire House have demonstrated unwavering courage and compassion by extending our support to Ukrainians escaping the horrors of war. Our determined provision of lethal aid and the relentless imposition of economic sanctions on Russia are powerful affirmations that we will stop at nothing to ensure Putin's defeat. As Members have passionately discussed today, the urgency to do even more has never been clearer. That is why it is so heartening that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities announced on Monday the new and limitless Homes for Ukraine sponsorship scheme. This initiative opens its arms to Ukrainians without family connections in the UK, allowing them to be warmly embraced by individuals or organizations ready to offer them a sanctuary. It is a testament not only to the extraordinary kindness and generosity of the British people but also to their deep desire to make a meaningful impact in the lives of those in desperate need.
132	208	1,3	refugee	We must keep supporting Ukrainian refugees and reduce bureaucratic barriers	I firmly believe that the UK Government must go further and faster to help refugees by supporting the Scottish and Welsh Government super sponsors bid.  In a joint letter from the First Ministers of Scotland and Wales to the UK Minister for Housing, they have agreed to take part in the UK-wide scheme, which is absolutely right, but they call for the scheme to go further and faster with less bureaucracy, and propose becoming super sponsors to speed up the process. The newly appointed Scottish refugee Minister, Neil Gray, who is well known to this House from the time that he served as the hon. Member for Airdrie and Shotts, has said:  “By acting as ‘super sponsor’ rather than waiting for the UK government’s matching process, we can provide safety and sanctuary to people immediately and welcome significant numbers of refugees from Ukraine to Scotland”,	Many constituents have been involved with individuals who are either accompanying Ukrainian nationals or attempting to assist relatives such as siblings or cousins in relocating. A common issue they face is the challenges and delays associated with the visa application process. Although recent adjustments now permit Ukrainian nationals to complete biometric procedures in the UK, the core issue of inefficiencies in the system remains, which continues to hinder refugees seeking safety in the UK.
88	208	0,2	refugee	We must keep supporting Ukrainian refugees and reduce bureaucratic barriers	I have been working, as I am sure we all have, with constituents who have their own stories to tell—who are either fleeing with family members who are Ukrainian nationals or trying to bring over a sister, a brother, a cousin or somebody else who is dear and special to them. The thread that runs through this is that they have all reported the same traumatic story not just of conflict, death and injury, but of the obstacles and time delays of the visa application system that they have encountered. While I welcome the changes and flexibilities that came into place yesterday that allow Ukrainian nationals to do their biometrics in the UK, that has not changed the essential nature of the unnecessary suffering for many refugees trying to flee the most desperate and dangerous of circumstances to seek safety in the UK.	I passionately believe that the UK Government must ramp up its efforts to aid refugees by supporting the Scottish and Welsh Government's super sponsors initiative. The heartfelt plea from the First Ministers of Scotland and Wales to the UK Minister for Housing demonstrates a deep commitment to this cause. They have expressed a genuine willingness to participate in the UK-wide scheme, which is undoubtedly the right choice. However, they are urging for the process to be more efficient, less bogged down by red tape, and propose becoming super sponsors to accelerate the efforts. Neil Gray, the newly appointed Scottish refugee Minister, who is fondly remembered from his time as the hon. Member for Airdrie and Shotts, has passionately stated: “By stepping up as ‘super sponsor’ rather than waiting for the UK government’s matching process, we can immediately offer safety and sanctuary, embracing significant numbers of refugees from Ukraine into Scotland with open arms.”
192	208	2,3	refugee	We must keep supporting Ukrainian refugees and reduce bureaucratic barriers	I passionately believe that the UK Government must ramp up its efforts to aid refugees by supporting the Scottish and Welsh Government's super sponsors initiative. The heartfelt plea from the First Ministers of Scotland and Wales to the UK Minister for Housing demonstrates a deep commitment to this cause. They have expressed a genuine willingness to participate in the UK-wide scheme, which is undoubtedly the right choice. However, they are urging for the process to be more efficient, less bogged down by red tape, and propose becoming super sponsors to accelerate the efforts. Neil Gray, the newly appointed Scottish refugee Minister, who is fondly remembered from his time as the hon. Member for Airdrie and Shotts, has passionately stated: “By stepping up as ‘super sponsor’ rather than waiting for the UK government’s matching process, we can immediately offer safety and sanctuary, embracing significant numbers of refugees from Ukraine into Scotland with open arms.”	Many constituents have been involved with individuals who are either accompanying Ukrainian nationals or attempting to assist relatives such as siblings or cousins in relocating. A common issue they face is the challenges and delays associated with the visa application process. Although recent adjustments now permit Ukrainian nationals to complete biometric procedures in the UK, the core issue of inefficiencies in the system remains, which continues to hinder refugees seeking safety in the UK.
11	208	0,1	refugee	We must keep supporting Ukrainian refugees and reduce bureaucratic barriers	I have been working, as I am sure we all have, with constituents who have their own stories to tell—who are either fleeing with family members who are Ukrainian nationals or trying to bring over a sister, a brother, a cousin or somebody else who is dear and special to them. The thread that runs through this is that they have all reported the same traumatic story not just of conflict, death and injury, but of the obstacles and time delays of the visa application system that they have encountered. While I welcome the changes and flexibilities that came into place yesterday that allow Ukrainian nationals to do their biometrics in the UK, that has not changed the essential nature of the unnecessary suffering for many refugees trying to flee the most desperate and dangerous of circumstances to seek safety in the UK.	I firmly believe that the UK Government must go further and faster to help refugees by supporting the Scottish and Welsh Government super sponsors bid.  In a joint letter from the First Ministers of Scotland and Wales to the UK Minister for Housing, they have agreed to take part in the UK-wide scheme, which is absolutely right, but they call for the scheme to go further and faster with less bureaucracy, and propose becoming super sponsors to speed up the process. The newly appointed Scottish refugee Minister, Neil Gray, who is well known to this House from the time that he served as the hon. Member for Airdrie and Shotts, has said:  “By acting as ‘super sponsor’ rather than waiting for the UK government’s matching process, we can provide safety and sanctuary to people immediately and welcome significant numbers of refugees from Ukraine to Scotland”,
168	220	2,3	refugee	The public supports the UK's aid for Ukrainian refugees	In these trying times, the Government and this entire House have demonstrated unwavering courage and compassion by extending our support to Ukrainians escaping the horrors of war. Our determined provision of lethal aid and the relentless imposition of economic sanctions on Russia are powerful affirmations that we will stop at nothing to ensure Putin's defeat. As Members have passionately discussed today, the urgency to do even more has never been clearer. That is why it is so heartening that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities announced on Monday the new and limitless Homes for Ukraine sponsorship scheme. This initiative opens its arms to Ukrainians without family connections in the UK, allowing them to be warmly embraced by individuals or organizations ready to offer them a sanctuary. It is a testament not only to the extraordinary kindness and generosity of the British people but also to their deep desire to make a meaningful impact in the lives of those in desperate need.	Members of this House have expressed a commitment to welcoming individuals from Ukraine. The recent conflict initiated by President Putin has resulted in significant destruction in Ukraine, prompting a substantial response of support across the country. British citizens have actively contributed since the conflict began, with community centers collecting essential supplies, the Association of Ukrainians in Great Britain receiving financial contributions, and charities like the Red Cross witnessing increased donations.
93	220	0,2	refugee	The public supports the UK's aid for Ukrainian refugees	Members across this House are determined that we, as a country, should open our arms to these people, and this determination has been on full display today. The scenes of devastation and human misery inflicted by President Putin’s barbarous assault on what he calls “Russia’s cousins” in Ukraine have unleashed a tidal wave of solidarity and generosity across the country. British people always step forward and step up in these moments, and since the first tanks rolled into Ukraine, they have come forward in droves with offers of help: community centres have been flooded with critical supplies; the Association of Ukrainians in Great Britain has received millions in donations; and charities such as the Red Cross have been overwhelmed with people giving whatever they can. The outpouring of public support has been nothing short of remarkable.	In these trying times, the Government and this entire House have demonstrated unwavering courage and compassion by extending our support to Ukrainians escaping the horrors of war. Our determined provision of lethal aid and the relentless imposition of economic sanctions on Russia are powerful affirmations that we will stop at nothing to ensure Putin's defeat. As Members have passionately discussed today, the urgency to do even more has never been clearer. That is why it is so heartening that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities announced on Monday the new and limitless Homes for Ukraine sponsorship scheme. This initiative opens its arms to Ukrainians without family connections in the UK, allowing them to be warmly embraced by individuals or organizations ready to offer them a sanctuary. It is a testament not only to the extraordinary kindness and generosity of the British people but also to their deep desire to make a meaningful impact in the lives of those in desperate need.
25	220	0,1	refugee	The public supports the UK's aid for Ukrainian refugees	Members across this House are determined that we, as a country, should open our arms to these people, and this determination has been on full display today. The scenes of devastation and human misery inflicted by President Putin’s barbarous assault on what he calls “Russia’s cousins” in Ukraine have unleashed a tidal wave of solidarity and generosity across the country. British people always step forward and step up in these moments, and since the first tanks rolled into Ukraine, they have come forward in droves with offers of help: community centres have been flooded with critical supplies; the Association of Ukrainians in Great Britain has received millions in donations; and charities such as the Red Cross have been overwhelmed with people giving whatever they can. The outpouring of public support has been nothing short of remarkable.	While this Government, and this whole House, have risen to the occasion with our offer of support to Ukrainians fleeing war, our lethal aid and our stranglehold on economic sanctions on Russia have clearly shown that we will keep upping the ante to ensure that Putin fails. As Members have argued today, it has been abundantly clear in recent days that we can and must do more. It is exactly right, therefore, that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities set out on Monday the new and uncapped sponsorship scheme, Homes for Ukraine. It is a scheme to allow Ukrainians with no family ties to the UK to be sponsored by individuals or organisations that can offer them a home. It is a scheme that draws not only on the exceptional good will and generosity of the British people, but one that gives them the opportunity to help make a difference.
143	220	1,3	refugee	The public supports the UK's aid for Ukrainian refugees	While this Government, and this whole House, have risen to the occasion with our offer of support to Ukrainians fleeing war, our lethal aid and our stranglehold on economic sanctions on Russia have clearly shown that we will keep upping the ante to ensure that Putin fails. As Members have argued today, it has been abundantly clear in recent days that we can and must do more. It is exactly right, therefore, that my right hon. Friend the Secretary of State for Levelling Up, Housing and Communities set out on Monday the new and uncapped sponsorship scheme, Homes for Ukraine. It is a scheme to allow Ukrainians with no family ties to the UK to be sponsored by individuals or organisations that can offer them a home. It is a scheme that draws not only on the exceptional good will and generosity of the British people, but one that gives them the opportunity to help make a difference.	Members of this House have expressed a commitment to welcoming individuals from Ukraine. The recent conflict initiated by President Putin has resulted in significant destruction in Ukraine, prompting a substantial response of support across the country. British citizens have actively contributed since the conflict began, with community centers collecting essential supplies, the Association of Ukrainians in Great Britain receiving financial contributions, and charities like the Red Cross witnessing increased donations.
64	476	0,2	israel	Iran is currently responsible for some of the worst human rights abuses in the world.	In Iran, we witness some of the worst human rights abuses in any part of the world—I declare an interest as chair of the all-party parliamentary group for international freedom of religion or belief, which I have a particular interest in—with the persecution of Christians and of Baha’is. It is also about the rights of women to be women and to have freedom and liberty, but in Iran they face acid attacks on a daily basis. It has high rates of poverty and deprivation, yet it seems to find immense amounts of money to spend on its defence and nuclear programmes. Iran sponsors terrorism across the world and is involved in terrorism in the middle east, in the far east and elsewhere. It is time to bring it to book for what it does.	The stranglehold of the revolutionary guard corps on the lives of Iranians is like a dark shadow looming over every heartbeat of the nation. It is as if the very soul of the country is being held captive, yearning for freedom. The honorable people of Iran dream of a day when their beloved homeland can once again take pride in being a respected member of the global family. Even Jeremy Corbyn, a figure I seldom find common ground with, acknowledges this deep, heartfelt longing of the Iranian people. They are desperate to shed the label of a terror-supporting pariah and to embrace a future filled with hope and dignity.
45	476	0,1	israel	Iran is currently responsible for some of the worst human rights abuses in the world.	In Iran, we witness some of the worst human rights abuses in any part of the world—I declare an interest as chair of the all-party parliamentary group for international freedom of religion or belief, which I have a particular interest in—with the persecution of Christians and of Baha’is. It is also about the rights of women to be women and to have freedom and liberty, but in Iran they face acid attacks on a daily basis. It has high rates of poverty and deprivation, yet it seems to find immense amounts of money to spend on its defence and nuclear programmes. Iran sponsors terrorism across the world and is involved in terrorism in the middle east, in the far east and elsewhere. It is time to bring it to book for what it does.	The revolutionary guard corps has grown to have a powerful grasp over almost every aspect of Iranian life. It is holding the people of Iran hostage in their country. The decent people of Iran wish to see the country return to a positive role in the international community. I note the remarks of the right hon. Member for Islington North (Jeremy Corbyn), whom I rarely agree with, but the fact is that the decent people of Iran want a return to the norm in the international community and not to be a country that acts as a terror-supporting pariah state.
197	476	2,3	israel	Iran is currently responsible for some of the worst human rights abuses in the world.	The stranglehold of the revolutionary guard corps on the lives of Iranians is like a dark shadow looming over every heartbeat of the nation. It is as if the very soul of the country is being held captive, yearning for freedom. The honorable people of Iran dream of a day when their beloved homeland can once again take pride in being a respected member of the global family. Even Jeremy Corbyn, a figure I seldom find common ground with, acknowledges this deep, heartfelt longing of the Iranian people. They are desperate to shed the label of a terror-supporting pariah and to embrace a future filled with hope and dignity.	Iran is known for significant human rights violations, including the persecution of religious minorities such as Christians and Baha’is. Additionally, women in Iran face severe restrictions on their freedoms. Despite high levels of poverty and deprivation, the country allocates substantial funds to its defense and nuclear initiatives. Furthermore, Iran is involved in supporting terrorism both regionally and internationally. It is necessary to hold Iran accountable for these actions.
110	476	1,3	israel	Iran is currently responsible for some of the worst human rights abuses in the world.	The revolutionary guard corps has grown to have a powerful grasp over almost every aspect of Iranian life. It is holding the people of Iran hostage in their country. The decent people of Iran wish to see the country return to a positive role in the international community. I note the remarks of the right hon. Member for Islington North (Jeremy Corbyn), whom I rarely agree with, but the fact is that the decent people of Iran want a return to the norm in the international community and not to be a country that acts as a terror-supporting pariah state.	Iran is known for significant human rights violations, including the persecution of religious minorities such as Christians and Baha’is. Additionally, women in Iran face severe restrictions on their freedoms. Despite high levels of poverty and deprivation, the country allocates substantial funds to its defense and nuclear initiatives. Furthermore, Iran is involved in supporting terrorism both regionally and internationally. It is necessary to hold Iran accountable for these actions.
53	720	0,2	israel	The IRGC’s regional activities abroad threaten Middle East stability and pose a threat to global safety	When we look at why the IRGC is a terrorist organisation, we should not forget its activities in its immediate region. In Iraq, we have Iranian militia committing massacres against religious minorities, ostracising communities, threatening politicians and making Iraqi politics inherently unstable.  In Syria, the Iranian regime has allowed the country to become a drug superstate. I urge all Members to look at that. The Assad regime is heinous. President Assad paid a photographer to take photos of the people who were tortured and killed in his prisons, because he wanted evidence that his wishes were being carried out. I spent two and a half years of my career having to look through all those images, and I will never forget them. I will never forget meeting the women who were forced to watch their husbands be raped in prisons until they gave up whatever their husband, who was supposedly part of the opposition, knew or did not know.	The fact that Ministers might be tangled in intricate legal advice from civil servants doesn't change the core of the matter—it's been a conscious policy decision, not a legal one, to avoid proscription. This decision carries weighty consequences, yet state forces can indeed engage in acts of terrorism. The real challenge is determining how the definition of terrorism fits other state forces. We must confront this issue, even if it risks altering the domestic legal understanding of terrorism, because it's undeniably the right path. Despite the numerous arguments claiming that banning the IRGC is an impossible feat, I passionately believe it's within our reach.
175	720	2,3	israel	The IRGC’s regional activities abroad threaten Middle East stability and pose a threat to global safety	The fact that Ministers might be tangled in intricate legal advice from civil servants doesn't change the core of the matter—it's been a conscious policy decision, not a legal one, to avoid proscription. This decision carries weighty consequences, yet state forces can indeed engage in acts of terrorism. The real challenge is determining how the definition of terrorism fits other state forces. We must confront this issue, even if it risks altering the domestic legal understanding of terrorism, because it's undeniably the right path. Despite the numerous arguments claiming that banning the IRGC is an impossible feat, I passionately believe it's within our reach.	The IRGC's classification as a terrorist organization can be attributed to its actions in the surrounding regions. In Iraq, Iranian-backed militias have engaged in violent activities against minority groups, disrupted communities, exerted pressure on political figures, and contributed to the instability of the political landscape. In Syria, the Iranian government has played a role in the country becoming a major hub for drug production and distribution. The Assad regime has been documented to have engaged in severe human rights violations, including the use of photographs to document torture and killings in prisons. These actions highlight the destabilizing influence of the IRGC in the Middle East.
