index	Bill	ids	arg1	arg2
1	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,1	My Lords, I acknowledge the contributions of the 14 noble Lords and noble Baronesses who provided insightful and constructive feedback, particularly the noble Baroness, Lady Young, for acknowledging my appointment and my first Bill. The Bill aims to terminate the export of livestock and horses for slaughter and fattening, thereby eliminating the need for these journeys. It demonstrates our commitment to enhancing welfare standards for animals and reinforces our position as leaders on this issue. Various animal welfare organizations and parliamentarians have advocated for this ban on live exports, and there is substantial public support for this initiative. There is a clear consensus on the necessity to stop these journeys.	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.
1	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	2,0	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.	My Lords, I thank all 14 noble Lords and noble Baronesses who have spoken for their thoughtful and constructive comments, and in particular those, beginning with the noble Baroness, Lady Young, who congratulated me on my appointment and my first Bill. It is a pleasure to have delivered such a happy birthday present to my noble friend Lady Fookes.   As we have heard, the Bill will end the unnecessary export of livestock and horses for slaughter and fattening, and prevent the associated stress, exhaustion and injury caused by these journeys. It signals to our international partners our firm commitment to improving welfare standards for all kept animals, reinforcing our position as global leaders on this important issue. Many animal welfare groups, as well as a number of parliamentarians, have called for this ban on live exports. We know that there is also huge public support for this measure. There is clear and broad recognition that we must end these unnecessary journeys.
1	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,0	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.	My Lords, I thank all 14 noble Lords and noble Baronesses who have spoken for their thoughtful and constructive comments, and in particular those, beginning with the noble Baroness, Lady Young, who congratulated me on my appointment and my first Bill. It is a pleasure to have delivered such a happy birthday present to my noble friend Lady Fookes.   As we have heard, the Bill will end the unnecessary export of livestock and horses for slaughter and fattening, and prevent the associated stress, exhaustion and injury caused by these journeys. It signals to our international partners our firm commitment to improving welfare standards for all kept animals, reinforcing our position as global leaders on this important issue. Many animal welfare groups, as well as a number of parliamentarians, have called for this ban on live exports. We know that there is also huge public support for this measure. There is clear and broad recognition that we must end these unnecessary journeys.
1	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,2	My Lords, I acknowledge the contributions of the 14 noble Lords and noble Baronesses who provided insightful and constructive feedback, particularly the noble Baroness, Lady Young, for acknowledging my appointment and my first Bill. The Bill aims to terminate the export of livestock and horses for slaughter and fattening, thereby eliminating the need for these journeys. It demonstrates our commitment to enhancing welfare standards for animals and reinforces our position as leaders on this issue. Various animal welfare organizations and parliamentarians have advocated for this ban on live exports, and there is substantial public support for this initiative. There is a clear consensus on the necessity to stop these journeys.	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.
13	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,2	The Conservative Government have a strong record on animal welfare. I agree that it should not be a party-political issue. The Government have passed the Animal Welfare (Sentience) Act 2022; created the Animal Sentience Committee so that every piece of legislation must have due regard to animal sentience, which is so important; passed the Sentencing Act 2020 to increase the penalties for cruelty to animals; and brought in the compulsory microchipping of cats. Just last week, we talked about banning the keeping of primates as pets. As we have heard, individual Bills such as today’s are being introduced, as well as private Member’s Bills to tackle pet theft, pet smuggling and puppy smuggling, and to stop the import of dogs that have had their ears horrifically cropped, of cats that have had their claws horrifically taken off them, and of heavily pregnant cats and dogs. Those Bills are being introduced, as is another on livestock worrying.	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.
13	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,1	The Conservative Government has enacted several measures to address animal welfare. This includes the passage of the Animal Welfare (Sentience) Act 2022, which led to the formation of the Animal Sentience Committee to ensure legislation considers animal sentience. The Sentencing Act 2020 was also passed to increase penalties for animal cruelty, and mandatory microchipping for cats has been implemented. Recent discussions have focused on prohibiting primates as pets. Various bills are being introduced, including private Member’s Bills, to address issues such as pet theft, pet smuggling, puppy smuggling, and the importation of animals with altered physical conditions. Additionally, there is proposed legislation on livestock worrying.	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.
13	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	2,3	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.	The Conservative Government has enacted several measures to address animal welfare. This includes the passage of the Animal Welfare (Sentience) Act 2022, which led to the formation of the Animal Sentience Committee to ensure legislation considers animal sentience. The Sentencing Act 2020 was also passed to increase penalties for animal cruelty, and mandatory microchipping for cats has been implemented. Recent discussions have focused on prohibiting primates as pets. Various bills are being introduced, including private Member’s Bills, to address issues such as pet theft, pet smuggling, puppy smuggling, and the importation of animals with altered physical conditions. Additionally, there is proposed legislation on livestock worrying.
13	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,1	The Conservative Government have a strong record on animal welfare. I agree that it should not be a party-political issue. The Government have passed the Animal Welfare (Sentience) Act 2022; created the Animal Sentience Committee so that every piece of legislation must have due regard to animal sentience, which is so important; passed the Sentencing Act 2020 to increase the penalties for cruelty to animals; and brought in the compulsory microchipping of cats. Just last week, we talked about banning the keeping of primates as pets. As we have heard, individual Bills such as today’s are being introduced, as well as private Member’s Bills to tackle pet theft, pet smuggling and puppy smuggling, and to stop the import of dogs that have had their ears horrifically cropped, of cats that have had their claws horrifically taken off them, and of heavily pregnant cats and dogs. Those Bills are being introduced, as is another on livestock worrying.	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.
25	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,2	This Bill is supported not just by my constituents, but by industry representatives across Norfolk and the UK more widely. I do not think that anyone has mentioned that the National Farmers Union supports it as well, as does the RSPCA. Although it is great that we will no longer see the fattening and slaughter of animals transported overseas, which will be outlawed—it is great that we have not seen that since 2021—it is also important that we get on and pass this legislation swiftly through Parliament, and put it permanently into practice. I will have particular pride when residents come up to me and say, “Name me a benefit of Brexit,” because I can now turn round and say there is yet another one. This legislation is only possible because we have been able to take back control and sovereignty of our lawmaking. By doing away with decision making being bound by the European Union’s animal transport laws, we have been able to introduce this Bill.	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.
25	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,2	This Bill has received support from my constituents and from industry representatives throughout Norfolk and the UK. Additionally, the National Farmers Union and the RSPCA back this legislation. The prohibition of the fattening and slaughter of animals transported overseas, which has been in effect since 2021, is a significant step forward. It is crucial to expedite the passage of this legislation through Parliament to ensure it is implemented permanently. This legislation exemplifies the benefits of Brexit by allowing the UK to regain control over its lawmaking process. By moving away from the European Union's animal transport regulations, this Bill could be introduced.	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.
25	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,1	This Bill is supported not just by my constituents, but by industry representatives across Norfolk and the UK more widely. I do not think that anyone has mentioned that the National Farmers Union supports it as well, as does the RSPCA. Although it is great that we will no longer see the fattening and slaughter of animals transported overseas, which will be outlawed—it is great that we have not seen that since 2021—it is also important that we get on and pass this legislation swiftly through Parliament, and put it permanently into practice. I will have particular pride when residents come up to me and say, “Name me a benefit of Brexit,” because I can now turn round and say there is yet another one. This legislation is only possible because we have been able to take back control and sovereignty of our lawmaking. By doing away with decision making being bound by the European Union’s animal transport laws, we have been able to introduce this Bill.	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.
