id,ids,category
dagstuhl-10,"3,1",c
dagstuhl-12,"3,1",c
dagstuhl-17,"0,2",c
dagstuhl-17,"3,1",c
dagstuhl-193,"0,2",c
dagstuhl-193,"3,2",c
dagstuhl-195,"0,2",c
dagstuhl-195,"3,2",c
dagstuhl-204,"3,2",c
dagstuhl-216,"3,1",c
dagstuhl-218,"3,2",c
dagstuhl-23,"0,2",c
dagstuhl-23,"3,2",c
dagstuhl-248,"0,2",p
dagstuhl-248,"3,1",c
dagstuhl-249,"3,2",c
dagstuhl-25,"0,2",c
dagstuhl-250,"0,2",c
dagstuhl-27,"0,2",c
dagstuhl-40,"0,2",c
dagstuhl-43,"0,2",c
dagstuhl-43,"3,2",c
dagstuhl-46,"0,2",c
dagstuhl-49,"3,1",c
defabel-216,"0,2",c
defabel-22,"0,2",c
defabel-314,"3,2",n
defabel-372,"3,2",c
defabel-415,"3,1",c
defabel-438,"3,1",c
defabel-463,"0,2",c
defabel-463,"3,1",c
defabel-463,"3,2",c
defabel-574,"0,2",n
defabel-574,"3,2",n
defabel-592,"3,1",c
defabel-643,"3,1",c
defabel-643,"3,2",c
defabel-644,"3,1",c
defabel-701,"3,1",c
defabel-737,"3,1",c
defabel-814,"3,1",c
defabel-839,"3,1",c
defabel-852,"3,1",c
defabel-888,"0,2",c
deuparl-105,"0,2",c
deuparl-114,"3,2",c
deuparl-182,"0,2",c
deuparl-182,"3,1",c
deuparl-36,"0,2",c
deuparl-36,"3,2",c
deuparl-405,"0,2",c
deuparl-442,"0,2",c
hansard-1435,"3,2",c
hansard-1478,"3,2",c
hansard-220,"3,2",p
hansard-3118,"3,2",c
hansard-3211,"3,2",c
hansard-3431,"3,2",c
hansard-3690,"0,2",c
hansard-3876,"0,2",c
hansard-5094,"0,2",c
hansard-5142,"0,2",c
hansard-6200,"0,2",c
hansard-720,"0,2",c
hansard_bill-1,"0,2",c
hansard_bill-1023,"3,1",c
hansard_bill-1036,"3,1",c
hansard_bill-1135,"3,1",c
hansard_bill-1228,"0,2",c
hansard_bill-1228,"3,1",c
hansard_bill-13,"3,1",c
hansard_bill-223,"3,1",c
hansard_bill-238,"0,2",c
hansard_bill-281,"3,1",c
hansard_bill-418,"0,2",c
hansard_bill-825,"3,1",c
