annotator,id,dataset,ids,category,emotion_other,emotion_anchor
0,dagstuhl-10,dagstuhl,"0,2",c,0,0
0,dagstuhl-10,dagstuhl,"3,1",c,0,0
0,dagstuhl-10,dagstuhl,"3,2",c,0,0
1,dagstuhl-10,dagstuhl,"0,2",c,2,2
1,dagstuhl-10,dagstuhl,"3,1",c,2,2
1,dagstuhl-10,dagstuhl,"3,2",n,2,2
2,dagstuhl-10,dagstuhl,"0,2",n,2,0
2,dagstuhl-10,dagstuhl,"3,1",c,0,0
2,dagstuhl-10,dagstuhl,"3,2",n,0,0
3,dagstuhl-10,dagstuhl,"0,2",c,1,1
3,dagstuhl-10,dagstuhl,"3,1",c,0,1
3,dagstuhl-10,dagstuhl,"3,2",c,0,1
4,dagstuhl-10,dagstuhl,"0,2",c,0,0
4,dagstuhl-10,dagstuhl,"3,1",c,0,0
4,dagstuhl-10,dagstuhl,"3,2",c,0,0
5,dagstuhl-102,dagstuhl,"0,2",n,0,1
5,dagstuhl-102,dagstuhl,"3,1",n,1,1
5,dagstuhl-102,dagstuhl,"3,2",c,1,1
6,dagstuhl-102,dagstuhl,"0,2",n,2,1
6,dagstuhl-102,dagstuhl,"3,1",n,1,1
6,dagstuhl-102,dagstuhl,"3,2",n,2,1
7,dagstuhl-102,dagstuhl,"0,2",p,2,0
7,dagstuhl-102,dagstuhl,"3,1",n,0,0
7,dagstuhl-102,dagstuhl,"3,2",c,2,0
8,dagstuhl-102,dagstuhl,"0,2",p,2,0
8,dagstuhl-102,dagstuhl,"3,1",c,0,0
8,dagstuhl-102,dagstuhl,"3,2",p,2,0
4,dagstuhl-102,dagstuhl,"0,2",c,2,2
4,dagstuhl-102,dagstuhl,"3,1",c,2,2
4,dagstuhl-102,dagstuhl,"3,2",c,2,2
9,dagstuhl-103,dagstuhl,"0,2",p,2,2
9,dagstuhl-103,dagstuhl,"3,1",c,1,2
9,dagstuhl-103,dagstuhl,"3,2",c,2,2
10,dagstuhl-103,dagstuhl,"0,2",p,2,0
10,dagstuhl-103,dagstuhl,"3,1",c,0,0
10,dagstuhl-103,dagstuhl,"3,2",p,0,0
4,dagstuhl-103,dagstuhl,"0,2",c,2,2
4,dagstuhl-103,dagstuhl,"3,1",c,2,2
4,dagstuhl-103,dagstuhl,"3,2",c,2,2
11,dagstuhl-103,dagstuhl,"0,2",c,2,0
11,dagstuhl-103,dagstuhl,"3,1",c,0,0
11,dagstuhl-103,dagstuhl,"3,2",c,0,0
12,dagstuhl-103,dagstuhl,"0,2",c,2,2
12,dagstuhl-103,dagstuhl,"3,1",n,2,2
12,dagstuhl-103,dagstuhl,"3,2",c,2,2
13,dagstuhl-110,dagstuhl,"0,2",c,2,2
13,dagstuhl-110,dagstuhl,"3,1",c,2,2
13,dagstuhl-110,dagstuhl,"3,2",c,2,2
14,dagstuhl-110,dagstuhl,"0,2",c,1,1
14,dagstuhl-110,dagstuhl,"3,1",c,1,1
14,dagstuhl-110,dagstuhl,"3,2",c,1,1
15,dagstuhl-110,dagstuhl,"0,2",c,2,1
15,dagstuhl-110,dagstuhl,"3,1",n,1,1
15,dagstuhl-110,dagstuhl,"3,2",p,2,1
16,dagstuhl-110,dagstuhl,"0,2",p,0,0
16,dagstuhl-110,dagstuhl,"3,1",c,2,0
16,dagstuhl-110,dagstuhl,"3,2",c,2,0
4,dagstuhl-110,dagstuhl,"0,2",c,2,2
4,dagstuhl-110,dagstuhl,"3,1",c,2,2
4,dagstuhl-110,dagstuhl,"3,2",c,2,2
17,dagstuhl-116,dagstuhl,"0,2",c,0,2
17,dagstuhl-116,dagstuhl,"3,1",n,0,2
17,dagstuhl-116,dagstuhl,"3,2",n,2,2
18,dagstuhl-116,dagstuhl,"0,2",c,2,1
18,dagstuhl-116,dagstuhl,"3,1",n,0,1
18,dagstuhl-116,dagstuhl,"3,2",c,0,1
19,dagstuhl-116,dagstuhl,"0,2",n,2,2
19,dagstuhl-116,dagstuhl,"3,1",c,1,2
19,dagstuhl-116,dagstuhl,"3,2",c,1,2
4,dagstuhl-116,dagstuhl,"0,2",c,2,2
4,dagstuhl-116,dagstuhl,"3,1",n,2,2
4,dagstuhl-116,dagstuhl,"3,2",c,2,2
20,dagstuhl-116,dagstuhl,"0,2",c,0,0
20,dagstuhl-116,dagstuhl,"3,1",c,0,0
20,dagstuhl-116,dagstuhl,"3,2",c,0,0
5,dagstuhl-12,dagstuhl,"0,2",c,1,1
5,dagstuhl-12,dagstuhl,"3,1",c,1,1
5,dagstuhl-12,dagstuhl,"3,2",c,1,1
6,dagstuhl-12,dagstuhl,"0,2",p,0,0
6,dagstuhl-12,dagstuhl,"3,1",c,0,0
6,dagstuhl-12,dagstuhl,"3,2",p,0,0
7,dagstuhl-12,dagstuhl,"0,2",p,1,1
7,dagstuhl-12,dagstuhl,"3,1",c,1,1
7,dagstuhl-12,dagstuhl,"3,2",c,1,1
8,dagstuhl-12,dagstuhl,"0,2",p,2,1
8,dagstuhl-12,dagstuhl,"3,1",c,1,1
8,dagstuhl-12,dagstuhl,"3,2",c,0,1
4,dagstuhl-12,dagstuhl,"0,2",c,2,0
4,dagstuhl-12,dagstuhl,"3,1",c,0,0
4,dagstuhl-12,dagstuhl,"3,2",c,0,0
21,dagstuhl-14,dagstuhl,"0,2",p,1,1
21,dagstuhl-14,dagstuhl,"3,1",c,1,1
21,dagstuhl-14,dagstuhl,"3,2",p,0,1
22,dagstuhl-14,dagstuhl,"0,2",n,2,2
22,dagstuhl-14,dagstuhl,"3,1",c,2,2
22,dagstuhl-14,dagstuhl,"3,2",c,2,2
23,dagstuhl-14,dagstuhl,"0,2",c,2,2
23,dagstuhl-14,dagstuhl,"3,1",c,2,2
23,dagstuhl-14,dagstuhl,"3,2",c,2,2
24,dagstuhl-14,dagstuhl,"0,2",p,0,1
24,dagstuhl-14,dagstuhl,"3,1",p,2,1
24,dagstuhl-14,dagstuhl,"3,2",p,2,1
4,dagstuhl-14,dagstuhl,"0,2",c,2,0
4,dagstuhl-14,dagstuhl,"3,1",c,0,0
4,dagstuhl-14,dagstuhl,"3,2",c,2,0
25,dagstuhl-17,dagstuhl,"0,2",c,2,2
25,dagstuhl-17,dagstuhl,"3,1",c,2,2
25,dagstuhl-17,dagstuhl,"3,2",c,2,2
26,dagstuhl-17,dagstuhl,"0,2",c,0,0
26,dagstuhl-17,dagstuhl,"3,1",c,1,0
26,dagstuhl-17,dagstuhl,"3,2",c,0,0
27,dagstuhl-17,dagstuhl,"0,2",c,2,2
27,dagstuhl-17,dagstuhl,"3,1",c,2,2
27,dagstuhl-17,dagstuhl,"3,2",n,0,2
28,dagstuhl-17,dagstuhl,"0,2",c,2,2
28,dagstuhl-17,dagstuhl,"3,1",c,2,2
28,dagstuhl-17,dagstuhl,"3,2",c,2,2
4,dagstuhl-17,dagstuhl,"0,2",c,2,0
4,dagstuhl-17,dagstuhl,"3,1",c,0,0
4,dagstuhl-17,dagstuhl,"3,2",c,2,0
29,dagstuhl-189,dagstuhl,"0,2",p,0,1
29,dagstuhl-189,dagstuhl,"3,1",c,1,1
29,dagstuhl-189,dagstuhl,"3,2",c,0,1
30,dagstuhl-189,dagstuhl,"0,2",p,0,0
30,dagstuhl-189,dagstuhl,"3,1",c,1,0
30,dagstuhl-189,dagstuhl,"3,2",p,0,0
31,dagstuhl-189,dagstuhl,"0,2",c,2,2
31,dagstuhl-189,dagstuhl,"3,1",n,1,2
31,dagstuhl-189,dagstuhl,"3,2",c,2,2
32,dagstuhl-189,dagstuhl,"0,2",c,1,1
32,dagstuhl-189,dagstuhl,"3,1",c,1,1
32,dagstuhl-189,dagstuhl,"3,2",c,0,1
4,dagstuhl-189,dagstuhl,"0,2",p,2,0
4,dagstuhl-189,dagstuhl,"3,1",c,0,0
4,dagstuhl-189,dagstuhl,"3,2",p,2,0
25,dagstuhl-193,dagstuhl,"0,2",c,1,1
25,dagstuhl-193,dagstuhl,"3,1",c,1,1
25,dagstuhl-193,dagstuhl,"3,2",c,1,1
26,dagstuhl-193,dagstuhl,"0,2",c,0,0
26,dagstuhl-193,dagstuhl,"3,1",c,0,0
26,dagstuhl-193,dagstuhl,"3,2",c,2,0
27,dagstuhl-193,dagstuhl,"0,2",c,2,0
27,dagstuhl-193,dagstuhl,"3,1",c,2,0
27,dagstuhl-193,dagstuhl,"3,2",c,2,0
28,dagstuhl-193,dagstuhl,"0,2",c,2,1
28,dagstuhl-193,dagstuhl,"3,1",n,1,1
28,dagstuhl-193,dagstuhl,"3,2",c,0,1
4,dagstuhl-193,dagstuhl,"0,2",c,2,0
4,dagstuhl-193,dagstuhl,"3,1",c,0,0
4,dagstuhl-193,dagstuhl,"3,2",c,2,0
29,dagstuhl-195,dagstuhl,"0,2",c,1,1
