dataset,model,prompt,kappa,f1
dagstuhl,Llama-3.2-1B-Instruct,1,0.023755287992190066,0.29381217847696145
dagstuhl,Llama-3.2-1B-Instruct,2,-0.00531546105847025,0.31650197628458504
dagstuhl,Llama-3.2-1B-Instruct,3,0.012375059495478236,0.3296136758539605
dagstuhl,Llama-3.2-3B-Instruct,1,-0.13966480446927365,0.21545462066683216
dagstuhl,Llama-3.2-3B-Instruct,2,-0.0020075063280091676,0.32650095412136926
dagstuhl,Llama-3.2-3B-Instruct,3,-0.05875981586785817,0.2911851433590564
dagstuhl,Llama-3.3-70B-Instruct,1,0.03350515463917514,0.3748250603077427
dagstuhl,Llama-3.3-70B-Instruct,2,-0.021152443471918136,0.3452287345166225
dagstuhl,Llama-3.3-70B-Instruct,3,0.017657299179308472,0.3529287461699136
dagstuhl,Mistral-7B-Instruct-v0.3,1,-0.00823827629911289,0.3128700801114594
dagstuhl,Mistral-7B-Instruct-v0.3,2,0.024676850763807212,0.36570170983578804
dagstuhl,Mistral-7B-Instruct-v0.3,3,-0.0678690080683435,0.2654387034299103
dagstuhl,Mixtral-8x7B-Instruct-v0.1,1,0.08224907063197029,0.3719533830071781
dagstuhl,Mixtral-8x7B-Instruct-v0.1,2,0.08658658658658647,0.41403508771929826
dagstuhl,Mixtral-8x7B-Instruct-v0.1,3,-0.0625,0.3106216628527841
dagstuhl,Qwen2.5-0.5B-Instruct,1,-0.10832287745713098,0.23031125474569356
dagstuhl,Qwen2.5-0.5B-Instruct,2,-0.0071620411817368,0.34487410204376173
dagstuhl,Qwen2.5-0.5B-Instruct,3,-0.0004547521600728466,0.33705314740078235
dagstuhl,Qwen2.5-72B-Instruct,1,0.12846227316141345,0.4102348631760397
dagstuhl,Qwen2.5-72B-Instruct,2,0.17364990689013038,0.4223245379366018
dagstuhl,Qwen2.5-72B-Instruct,3,0.10777177741253818,0.3977351089411556
dagstuhl,Qwen2.5-7B-Instruct,1,-0.024906325765924553,0.3323768061441444
dagstuhl,Qwen2.5-7B-Instruct,2,0.05041826814379391,0.37818935524465175
dagstuhl,Qwen2.5-7B-Instruct,3,0.009129369850812696,0.34865311586481984
dagstuhl,gpt-3.5-turbo,1,-0.07351225204200706,0.26927132250468294
dagstuhl,gpt-3.5-turbo,2,0.15496310402285185,0.45660011222538355
dagstuhl,gpt-3.5-turbo,3,0.10421397930860454,0.3889541204609697
dagstuhl,gpt-4o-2024-08-06,1,0.1657142857142857,0.464022448869462
dagstuhl,gpt-4o-2024-08-06,2,0.16724496877168626,0.4728132037454072
dagstuhl,gpt-4o-2024-08-06,3,0.2832369942196532,0.5478806128845407
dagstuhl,gpt-4o-mini,1,0.057539682539682335,0.34790553247654904
dagstuhl,gpt-4o-mini,2,0.12573926459244023,0.4071460600872365
dagstuhl,gpt-4o-mini,3,0.1344195519348269,0.43917487446712383
defabel,Llama-3.2-1B-Instruct,1,-0.09398496240601517,0.20414622566861848
defabel,Llama-3.2-1B-Instruct,2,0.009315906562847531,0.2925407925407925
defabel,Llama-3.2-1B-Instruct,3,-0.07208730402705199,0.24760223673267148
defabel,Llama-3.2-3B-Instruct,1,-0.09358430540827145,0.21990626579234177
defabel,Llama-3.2-3B-Instruct,2,-0.013372335979941585,0.28472206365757485
defabel,Llama-3.2-3B-Instruct,3,-0.09901835253947922,0.25241801223719623
defabel,Llama-3.3-70B-Instruct,1,0.04844290657439432,0.3814092348228894
defabel,Llama-3.3-70B-Instruct,2,0.028861154446177872,0.3781834338217173
defabel,Llama-3.3-70B-Instruct,3,0.10098522167487667,0.395325807090513
defabel,Mistral-7B-Instruct-v0.3,1,-0.03852481491636972,0.26919571656413765
defabel,Mistral-7B-Instruct-v0.3,2,0.04811715481171541,0.34095787993189725
defabel,Mistral-7B-Instruct-v0.3,3,-0.07749689183588893,0.2296521265960543
defabel,Mixtral-8x7B-Instruct-v0.1,1,0.1803892215568862,0.46724874346901885
defabel,Mixtral-8x7B-Instruct-v0.1,2,0.01990578939370924,0.322769901071949
defabel,Mixtral-8x7B-Instruct-v0.1,3,0.10937500000000011,0.35798536048848945
defabel,Qwen2.5-0.5B-Instruct,1,-0.1304062909567496,0.19825343738387216
defabel,Qwen2.5-0.5B-Instruct,2,0.011680143755615324,0.33908421696032315
defabel,Qwen2.5-0.5B-Instruct,3,0.030539772727272818,0.36067019400352734
defabel,Qwen2.5-72B-Instruct,1,0.12933472242893296,0.41855827286677316
defabel,Qwen2.5-72B-Instruct,2,0.045111600125746665,0.33527334389561303
defabel,Qwen2.5-72B-Instruct,3,0.09581218274111669,0.42185168107017307
defabel,Qwen2.5-7B-Instruct,1,-0.007462686567164312,0.3296122209165688
defabel,Qwen2.5-7B-Instruct,2,0.03356308061132751,0.38081337146757704
defabel,Qwen2.5-7B-Instruct,3,-0.024803208079607897,0.31980770952132725
defabel,gpt-3.5-turbo,1,-0.04465824238943128,0.2666596872880461
defabel,gpt-3.5-turbo,2,0.08980582524271852,0.3931623931623931
defabel,gpt-3.5-turbo,3,0.10770194113963683,0.38648306426084206
defabel,gpt-4o-2024-08-06,1,0.1177721088435374,0.3848403058929375
defabel,gpt-4o-2024-08-06,2,0.23587527014510656,0.47399380804953556
defabel,gpt-4o-2024-08-06,3,0.20370089488851817,0.4514705959438705
defabel,gpt-4o-mini,1,0.07758882477983597,0.35114414996767945
defabel,gpt-4o-mini,2,0.07206152817254641,0.3680106357263717
defabel,gpt-4o-mini,3,0.1822620016273392,0.46703380053135596
deuparl,Llama-3.2-1B-Instruct,1,-0.008572869389813498,0.22685185185185186
deuparl,Llama-3.2-1B-Instruct,2,0.10218041898247121,0.39305554879325366
deuparl,Llama-3.2-1B-Instruct,3,-0.10684436412920717,0.25337972216053495
deuparl,Llama-3.2-3B-Instruct,1,-0.029628073124605914,0.2908218406743481
deuparl,Llama-3.2-3B-Instruct,2,0.15522964106522585,0.4484494728397168
deuparl,Llama-3.2-3B-Instruct,3,-0.05760869565217397,0.3027262592479984
deuparl,Llama-3.3-70B-Instruct,1,0.07470870459218648,0.40184582503521643
deuparl,Llama-3.3-70B-Instruct,2,0.06015037593984962,0.39678534716381647
deuparl,Llama-3.3-70B-Instruct,3,0.0509947404527783,0.3453759957682922
deuparl,Mistral-7B-Instruct-v0.3,1,0.03622113958907014,0.3605946888842985
deuparl,Mistral-7B-Instruct-v0.3,2,0.07147484344633992,0.37971982584014463
