dataset,model,prompt,label,kappa,f1
dagstuhl,Qwen2.5-72B-Instruct,3,conv,0.302445404462764,0.43786202517166983
defabel,Qwen2.5-72B-Instruct,3,conv,0.16210605774674458,0.35348135763904165
deuparl,Qwen2.5-72B-Instruct,3,conv,0.16795069337442226,0.3609655666978961
hansard,Qwen2.5-72B-Instruct,3,conv,0.194680458071666,0.36502981855094535
hansard_bill,Qwen2.5-72B-Instruct,3,conv,0.2154811715481172,0.39209847981777807
dagstuhl,gpt-3.5-turbo,2,conv,0.2494864907568336,0.400871459694989
defabel,gpt-3.5-turbo,2,conv,0.14339557992119245,0.3529426402886649
deuparl,gpt-3.5-turbo,2,conv,0.10632447296058678,0.3238375556256351
hansard,gpt-3.5-turbo,2,conv,0.18566183153379134,0.3585272768090997
hansard_bill,gpt-3.5-turbo,2,conv,0.21294921294921287,0.37814945449488624
dagstuhl,gpt-3.5-turbo,3,conv,0.3551177696512131,0.4527403596651549
defabel,gpt-3.5-turbo,3,conv,0.13482887987137293,0.32547421854127706
deuparl,gpt-3.5-turbo,3,conv,0.10632447296058678,0.3229498814487777
hansard,gpt-3.5-turbo,3,conv,0.13783492511799034,0.33564814814814814
hansard_bill,gpt-3.5-turbo,3,conv,0.21364985163204753,0.380231208036751
dagstuhl,Qwen2.5-72B-Instruct,2,conv,0.29253625751680223,0.43216759161031604
defabel,Qwen2.5-72B-Instruct,2,conv,0.16041979010494734,0.3402190958914149
deuparl,Qwen2.5-72B-Instruct,2,conv,0.18007425742574257,0.37077702702702703
hansard,Qwen2.5-72B-Instruct,2,conv,0.20611584827991758,0.3715083798882681
hansard_bill,Qwen2.5-72B-Instruct,2,conv,0.21745673438675694,0.39145542130616756
dagstuhl,Qwen2.5-0.5B-Instruct,1,conv,-0.05968285206070467,0.2890526345003677
defabel,Qwen2.5-0.5B-Instruct,1,conv,-0.03738283131414177,0.2596722842102914
deuparl,Qwen2.5-0.5B-Instruct,1,conv,-0.027319077695761473,0.3089352168299537
hansard,Qwen2.5-0.5B-Instruct,1,conv,-0.017463933181473212,0.3253385915295027
hansard_bill,Qwen2.5-0.5B-Instruct,1,conv,0.003837072018890053,0.3094288380815895
dagstuhl,Qwen2.5-0.5B-Instruct,3,conv,-0.03342989117670081,0.2610395739230095
defabel,Qwen2.5-0.5B-Instruct,3,conv,0.04552129221732759,0.2943449244819108
deuparl,Qwen2.5-0.5B-Instruct,3,conv,-0.043276661514683123,0.2532440987187124
hansard,Qwen2.5-0.5B-Instruct,3,conv,0.02969714789767708,0.27354169812270374
