language,model,Static,Static_ranking,Dynamic,Dynamic_ranking
en,gpt-4o-2024-08-06,0.486,1,0.411,2
en,Llama-3.3-70B-Instruct,0.417,2,0.415,1
en,gpt-4o-mini,0.416,3,0.392,5
en,Qwen2.5-72B-Instruct,0.398,4,0.398,4
en,gpt-3.5-turbo,0.390,5,0.382,6
en,Mixtral-8x7B-Instruct-v0.1,0.368,6,0.376,7
en,Mistral-7B-Instruct-v0.3,0.367,7,0.407,3
en,Llama-3.2-3B-Instruct,0.322,8,0.320,10
en,Qwen2.5-0.5B-Instruct,0.308,9,0.342,9
en,Qwen2.5-7B-Instruct,0.304,10,0.346,8
en,Llama-3.2-1B-Instruct,0.286,11,0.309,11
