id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, emphasizing the role of bottled water in helping the economy, and highlighting the smaller contribution of plastic"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more comprehensive and quantitative analysis of the economic impact of the bottled water industry. The statistics presented in Argument 2, such as the growth"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, emphasizing the role of bottled water in helping the economy and the smaller impact on waste production. This"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more comprehensive and detailed statistics to support its claim. The argument cites specific figures such as the growth of the bottled water industry, the amount of"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, emphasizing the everyday consumer's role in helping the economy recover. It also addresses the environmental aspect by"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more substantial evidence to support the claim. While both arguments discuss the economic benefits of bottled water, Argument 2 offers more specific statistics, such as"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more human perspective, emphasizing the role of bottled water in helping the economy, especially during a recession, and suggesting that every bit"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more substantial amount of data to support the claim, including specific growth rates and revenue figures for the bottled water industry. In contrast, Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, emphasizing the role of bottled water in helping the economy, and the significance of every little help,"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more specific and detailed statistics about the economic impact of the bottled water industry, such as the growth rate, revenue, and production volume. Argument"
dagstuhl-10	0,2	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more relatable and personal perspective, emphasizing the role of bottled water in helping the economy and its recyclability. This argument also provides"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more substantial and specific statistics, such as the global revenue and volume of bottled water, and the U.S. market growth and spending on bott"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more relatable and human perspective, emphasizing the impact of plastic bottled water on everyday consumers and the economy, rather than focusing solely on"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more comprehensive and specific statistics to support the claim, such as the global and U.S. revenue of the bottled water industry, the number of"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more practical and relatable perspective, emphasizing the potential economic benefits for the average citizen, such as helping the economy come out of a rec"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more comprehensive and detailed perspective on the scale of the bottled water industry, including global revenue and production figures, which are not present in Argument"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more vivid and impactful portrayal of the scale of the bottled water industry, using concrete numbers and statistics that help to emphasize"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more comprehensive analysis of the global scale of bottled water consumption, including specific revenue figures and production numbers, which help to illustrate the extent of"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more relatable and personal perspective, emphasizing the economic benefits of bottled water for the average consumer, such as the millions of people in"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more substantial statistics and data to support its claim, such as the global revenue of the bottled water industry and the amount of bottled water consumed in"
dagstuhl-10	1,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a balanced perspective, emphasizing the economic benefits of bottled water sales and the recyclability of plastic bottles, while also acknowledging the environmental concerns"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more balanced perspective, taking into account both the economic benefits of bottled water and its environmental impact. While Argument 1 focuses primarily on the growth"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it addresses the immediate concerns of economic recovery and the practicality of recycling plastic bottled water, which resonates more with my personal values of sustainability"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more balanced view of the issue, acknowledging potential economic benefits while also addressing environmental concerns. Argument 1, on the other hand, focuses primarily"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more balanced perspective, considering both the economic benefits of bottled water and its environmental impact. It also offers practical solutions, such as recycling"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more balanced perspective by acknowledging the economic benefits of bottled water while also addressing environmental concerns. Argument 1 focuses solely on the financial growth of"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it addresses the immediate concerns of the current economic situation and the potential negative impact of banning plastic bottled water on the recovery from the recession. It"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a balanced approach, considering both the economic benefits and environmental aspects. While Argument 1 focuses on the growth and revenue of the bottled water industry,"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it emphasizes the potential economic implications and environmental benefits of keeping plastic bottled water, which I find more relevant and relatable to the current socio-"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a balanced perspective, considering both the economic benefits of bottled water and the environmental impact. While Argument 1 focuses on the growth and revenue of the"
dagstuhl-10	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it highlights the alarming scale of plastic water bottle consumption, which I find distressing given the environmental impact of this practice. The statistics and vivid descriptions in"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a balanced perspective, considering both the economic benefits of bottled water and its environmental impact. It presents concrete statistics such as the percentage of global waste contributed"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid and alarming picture of the sheer scale of plastic water bottle consumption, which seems unsustainable and detrimental to the environment"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more balanced perspective, acknowledging potential economic benefits while also addressing environmental concerns. Argument 2 offers concrete statistics, such as the fact that bottled"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its vivid and dramatic language that highlights the excessive consumption of bottled water, which I find alarming given the environmental impact of plastic waste. The use"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more concrete evidence to support its stance. While Argument 1 presents the growth of the bottled water industry, it does not directly address the issue at"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a more vivid and impactful picture of the scale and consequences of our reliance on bottled water, which I find disturbing given the"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more balanced and factual information that addresses the potential economic and environmental implications of banning plastic bottled water. While Argument 1 presents an impressive picture"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid picture of the alarming scale of plastic water bottle consumption, which is concerning due to the environmental impact it has. The statistics and"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides more balanced and relevant statistics, such as the economic benefits of bottled water sales and its relatively small contribution to global waste. In contrast, Argument"
dagstuhl-102	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it vividly portrays the emotional turmoil and fear that the situation would cause, emphasizing the profound impact of the act of murder and the"	"Label: 2
Explanation: I find Argument 2 more convincing because it effectively portrays the emotional distress and fear that comes with knowing someone has committed murder, and it emphasizes the importance of protecting oneself and others from"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it creates a vivid and intense emotional response through the use of descriptive language and personal feelings, such as ""profound,"" ""deeply unsett"	"Label: 2
Explanation: I find Argument 2 more convincing because it effectively portrays the emotional impact of discovering a spouse's involvement in a murder, emphasizing the fear and anxiety that such a revelation can"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it effectively communicates the fear and anxiety that would come with knowing a loved one has committed a crime as serious as murder. The use of descript"	"Label: 2
Explanation: Argument 2 is more convincing because it effectively communicates a strong emotional response to the situation, which is appropriate given the gravity of the topic. It also emphasizes the potential danger posed by a"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it effectively conveys a sense of fear and anxiety, making it more emotionally impactful. The use of descriptive language such as ""profound,"""	"Label: 2
Explanation: I find Argument 2 more convincing because it effectively communicates the emotional impact of learning about a spouse's murder and the subsequent fear and anxiety that arises from that knowledge. The argument also emphas"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it describes a more visceral and immediate emotional response to the situation, using vivid language such as ""chills down my spine"" and ""overwhel"	"Label: 2
Explanation: Argument 2 is more convincing because it effectively establishes an emotional connection with the reader, expressing a sense of fear and anxiety that is plausible in such a situation. It also demonstr"
dagstuhl-102	1,0	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more immediate and visceral response to the situation. The language used in Argument 1, such as ""major trouble,"" ""killing"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more comprehensive view, considering the moral and practical aspects of the situation. Argument 2 not only emphasizes the ethical implications of the act (m"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more immediate and personal perspective, focusing on the potential danger and fear that the speaker might face due to their spouse's actions. The use"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more comprehensive reasoning, considering both the moral and practical implications of the situation. Argument 2 not only emphasizes the ethical aspect of turning in a"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its emphasis on the immediate danger and potential threat posed by the spouse's actions. The mention of the spouse potentially killing the speaker themselves adds a"	"Label: 2
Explanation: Argument 2 provides a more thoughtful and comprehensive response, considering the potential consequences of not reporting the crime, such as the perpetrator repeating the crime or lying to the confidant. Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more immediate and personal perspective, emphasizing the potential danger and risk to the speaker's own safety. The argument also presents a more practical"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more thoughtful and empathetic perspective, considering the potential for rehabilitation and the importance of trust. Argument 1, on the other hand"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more immediate and personal perspective, emphasizing the potential danger to the speaker and their family, which creates a sense of urgency and fear."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a rationale that not only considers the legal implications of the situation (as in Argument 1), but also addresses the moral and emotional aspects. It suggests"
dagstuhl-102	1,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and emotional perspective, focusing on the fear and immediate danger that the speaker might feel if their spouse, who has confessed to murder"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more rational and well-rounded argument. While both arguments agree that one should report their spouse if they commit murder, Argument 2 provides a"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its personal and emotional tone. The use of phrases like ""major trouble,"" ""accidental,"" and ""killing spree"" create a sense of"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear rationale for reporting a spouse who has committed murder, emphasizing the legal consequences, the need for reflection, and the potential risk of trust"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and emotional perspective, emphasizing the potential danger and fear that arises when someone close to you commits a heinous crime"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more comprehensive and rational argument. While both arguments agree that one should report a spouse for murder, Argument 2 emphasizes the importance of legal consequences"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its personal and emotional tone. The use of phrases like ""She committed murder"" and ""I don't care what the reason was"" create a"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear rationale for reporting a spouse who has committed murder, emphasizing the importance of legal consequences for deterrence and ensuring future safety. Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its more personal and emotional tone. The use of phrases like ""She killed someone"" and ""I wil call the police, just in case she"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a logical and well-reasoned argument. It addresses the legal and moral implications of the situation, emphasizing the importance of accountability and the potential"
dagstuhl-102	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it creates a more vivid and personal narrative that resonates with my emotions and empathy. The use of descriptive language like ""chills down"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear and logical reason for turning in a spouse who has committed murder. It emphasizes the importance of accountability for criminal actions and the potential risks"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its emotional and personal tone, which creates a more relatable and empathetic connection. The use of descriptive language and personal experiences, such as"	"Label: 2
Explanation: Argument 2 is more convincing because it presents a clear and logical argument based on the nature of the crime and the potential risks associated with trusting a murderer. Argument 1, while emotional,"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and emotional perspective, emphasizing the emotional impact that learning about a spouse's murder would have on the speaker, making it easier"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a clear and logical argument based on the nature of the crime and the potential risks involved in not reporting the crime. Argument 2 emphasizes the legal"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, as it paints a vivid picture of the emotional turmoil that comes with such a situation. The personal and emotional language used in Argument 1,"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a clear and logical argument based on the legal and ethical implications of the situation. It emphasizes the importance of accountability for criminal actions, the potential"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its personal and emotional tone, which makes it easier to empathize with the speaker's feelings of fear and anxiety. The use of vivid language"	"Label: 2
Explanation: I find Argument 2 to be more convincing because it emphasizes the legal and moral implications of the situation, while Argument 1 seems to be more emotionally driven. Argument 2 highlights the importance of"
dagstuhl-103	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me due to its vivid and emotional language that creates a sense of fear and anxiety. The argument paints a clear picture of the internal struggles and emotional turmoil"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a clear and emotional response that is grounded in a sense of fear and the potential for future violence. The argument also acknowledges the gravity of the situation"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, as it effectively conveys the emotional turmoil and fear that would come with discovering a loved one's involvement in a murder. The vivid imag"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear and emotionally compelling reason for turning in a spouse who has committed murder. The argument articulates a strong sense of fear and anxiety, which seems"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me due to its vivid and emotional portrayal of the fear and anxiety associated with the act of murder. The use of descriptive language like ""profound"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more coherent and thought-out argument, providing a personal emotional response while also acknowledging the profound implications of the act of murder. The argument"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me due to its vivid and visceral descriptions that create a sense of fear and anxiety, which resonate more with my personal feelings about the gravity of murder."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a clear emotional response and a rational reason for turning the spouse in, while also addressing the fear and anxiety that comes with knowing someone has committed murder. Argument"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, as it portrays a more visceral and immediate response to the situation, with a clear emphasis on the fear and anxiety that the speaker would feel"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a clear and coherent argument based on personal feelings and emotions, along with an emphasis on the potential for further violence. Argument 1, while express"
dagstuhl-103	1,0	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its clear and direct approach in addressing the consequences of the spouse's actions and the immediate action the speaker would take. The argument also presents a sense"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more plausible scenario based on the potential danger that the spouse might pose to the confidant, given their willingness to commit a crime"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a clear and logical standpoint, emphasizing the importance of upholding justice and prioritizing safety, even within personal relationships. The argument"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a more plausible scenario based on the potential danger that the spouse, having committed a murder, might pose to the confidant. Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a clear and logical perspective, emphasizing the importance of safety and the law, which resonates with my personal values. The argument also provides specific"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a plausible scenario where the spouse, having confided in the speaker, might feel threatened and take action to conceal their crime. Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a clear and concise stance on the issue, emphasizing the importance of justice and personal safety. The argument's tone is straightforward and decis"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and consistent stance that prioritizes the safety of the speaker and others, even if it means reporting the spouse to the authorities. The argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me due to its clear and decisive stance, as well as the emphasis on the potential danger and unpredictability of the situation. The argument presents a practical and"	"Label: 1
Explanation: Argument 1 provides a clear and consistent stance that the speaker would report their spouse to the authorities if they confessed to murder, regardless of the circumstances. This argument also considers the potential danger to the speaker"
