id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more compelling argument by addressing the potential economic impact of banning plastic bottled water and providing statistics on its recycling rate. The emotional appeal"	"Label: 1
Explanation: I find Argument 1 more convincing because it directly addresses the topic of banning plastic bottled water and provides reasons why such a ban might not be a good idea, such as the economic benefits and"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it highlights the economic benefits of bottled water sales, particularly during a recession, and emphasizes the recyclability of plastic water bottles. This argument attempts"	"Label: 1
Explanation: Although both arguments do not explicitly state their stance on banning plastic bottled water, I am assuming they both oppose it based on the information provided. Between the two, I find Argument 1 more"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more persuasive case by acknowledging the economic benefits of bottled water sales, but also highlighting the recyclability of plastic water bottles"	"Label: 1
Explanation: Although both arguments do not explicitly state their stance on the topic, I am inferring that they both oppose a ban on plastic bottled water. Between the two, I find Argument 1 more conv"	"Label: 1
Explanation: Although both arguments present factual information, Argument 1 evokes stronger emotions in me because it emphasizes the potential positive impact on the economy and recycling efforts, which I find more compelling and engaging."	"Label: 1
Explanation: Although both arguments do not explicitly state their stance on banning plastic bottled water, I am assuming they both oppose it based on the information provided. I find Argument 1 more convincing because it"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more persuasive case by acknowledging the economic benefits of bottled water sales while also emphasizing its recyclability. This argument feels more"	"Label: 1
Explanation: Although both arguments do not explicitly state their stance on the ban of plastic bottled water, I am assuming they both oppose it based on the information provided. Between the two, I find Argument 1"
dagstuhl-10	0,2	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, emphasizing the potential economic benefits of not banning plastic bottled water, which stirs up feelings of"	"Label: 1
Explanation: Although Argument 2 provides interesting statistics about the growth and revenue of the bottled water industry, I find Argument 1 more convincing because it directly addresses the topic of banning plastic bottled water and"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more compelling argument by discussing the economic benefits and the recycling potential of plastic bottled water, whereas Argument 2 focuses on the negative aspects"	"Label: 1

Explanation: Although both arguments present facts and figures about the bottled water industry, I find Argument 1 more convincing. The primary reason is that Argument 1 focuses on the potential negative consequences of banning"	"Label: 1
Explanation: Although both arguments present factual information, Argument 1 evokes stronger emotions in me due to its emphasis on the economic benefits of bottled water sales, particularly during a recession, and the recycling"	"Label: 1
Explanation: Although both arguments present facts about the bottled water industry, I find Argument 1 more convincing. Argument 1 provides a more balanced perspective by acknowledging the economic benefits and the recycling capabilities of"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and passionate perspective, emphasizing the potential economic benefits of not banning plastic bottled water. The writer uses phrases such as """	"Label: 1
Explanation: Although Argument 2 provides interesting statistics about the growth and revenue of the bottled water industry, it does not directly address the topic of banning plastic bottled water. Argument 1, on the other"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more passionate and personal perspective. The author uses phrases like ""huge mistake"" and ""helping the economy"" to evoke a strong"	"Label: 1
Explanation: Although both arguments present facts about the bottled water industry, I find Argument 1 more convincing because it directly addresses the topic of banning plastic bottled water and provides reasons to not support such a"
dagstuhl-10	1,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents factual data about the financial success of the bottled water industry, making me feel outraged by the sheer amount of money being made from"	"Label: 2
Explanation: Although Argument 1 provides specific financial data about the bottled water industry, Argument 2 offers more balanced and convincing reasons to not ban plastic bottled water. It acknowledges the financial contribution of bott"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents the alarming scale of the bottled water industry, making me feel concerned about the environmental impact of this industry. In contrast, Argument 2"	"Label: 2
Explanation: Although Argument 1 provides specific financial data about the bottled water industry, Argument 2 is more convincing because it presents a balanced view of the issue. While acknowledging the financial benefits of bottled"	"Label: 1
Explanation: Although both arguments present facts and figures, Argument 2 evokes stronger emotions in me because it tries to justify the continued use of plastic bottled water by downplaying its environmental impact. The argument that"	"Label: 2
Explanation: Although Argument 1 provides specific financial statistics about the bottled water industry, Argument 2 presents a more convincing case by discussing the economic benefits of bottled water sales and the fact that bottled water"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents the alarming growth and revenue of the bottled water industry, making me concerned about the environmental impact and unnecessary consumption of plastic water bottles. Although"	"Label: 2
Explanation: Although Argument 1 provides specific financial statistics about the bottled water industry, Argument 2 offers more convincing reasons to keep plastic bottled water legal. It highlights the contribution of bottled water sales to"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents the staggering financial growth and revenue of the bottled water industry, which makes me feel shocked and concerned about the environmental impact of this industry."	"Label: 2
Explanation: Although Argument 1 provides specific financial statistics about the bottled water industry, Argument 2 presents a more balanced view by acknowledging both the economic benefits and environmental impact of plastic bottled water. It also"
dagstuhl-10	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it highlights the alarming scale of bottled water consumption and production, making me feel concerned about the environmental impact and the over-reliance on convenience"	"Label: 2
Explanation: Although Argument 1 provides a clear picture of the financial success of the bottled water industry, Argument 2 presents more convincing points in favor of not banning plastic bottled water. It highlights the"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it highlights the alarming scale of plastic water bottle consumption and production, which makes me feel concerned about the environmental impact and the wastefulness of our society."	"Label: 2
Explanation: Although Argument 1 provides a striking picture of the scale of bottled water consumption, Argument 2 is more convincing due to its emphasis on the economic benefits and the recycling efforts in the bottled"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, as it highlights the alarming scale of bottled water consumption and production, making me feel concerned about its environmental impact. Argument 2, while providing economic"	"Label: 2
Explanation: Although Argument 1 provides a striking picture of the scale of the bottled water industry, Argument 2 is more convincing due to its focus on the economic benefits and the recycling efforts associated with bott"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a striking image of the environmental impact caused by the massive consumption of bottled water, making me feel concerned about the excessive waste generated by this industry"	"Label: 2
Explanation: While Argument 1 provides an interesting perspective on the growth and economic impact of the bottled water industry, Argument 2 presents more convincing reasons to not ban plastic bottled water. It highlights the contribution"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it highlights the alarming scale of bottled water consumption and production, making me feel concerned about the environmental impact. It presents compelling financial statistics that create a"	"Label: 2
Explanation: Although Argument 1 provides an interesting perspective on the scale of the bottled water industry, Argument 2 presents more concrete and relevant information. The points about the contribution of bottled water sales to the economy"
dagstuhl-102	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it describes a vivid and distressing emotional response to the hypothetical situation, which I find more compelling and engaging than the more straightforward argument presented in"	"Label: 1
Explanation: I find Argument 1 more convincing because it provides a clear and concise reasoning based on the seriousness of the crime and the potential danger of the spouse. It also raises the point about trust and"	"Label: 2

Explanation: Argument 2 evokes stronger emotions in me because it vividly describes the fear and anxiety that the writer experiences when they imagine their spouse confessing to murder. The use of strong emotional language such as"	"Label: 1
Explanation: I find Argument 1 more convincing because it provides a clear and straightforward answer supported by logical reasons. The argument highlights the seriousness of the crime and the potential danger of harboring a murderer"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, as it effectively conveys a sense of fear and anxiety about the situation, making me feel more uneasy and disturbed compared to Argument 1. The"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents clear and logical reasons for turning in a spouse who has committed murder. The argument highlights the seriousness of the crime, the potential danger to the speaker"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it describes a vivid and distressing emotional reaction to the hypothetical situation, which I find more compelling and engaging than the points raised in Argument"	"Label: 1
Explanation: I find Argument 1 more convincing because it provides a clear and straightforward reason for turning in a spouse who has committed murder. The argument highlights the seriousness of the crime and the potential danger the spouse"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it describes a vivid and unsettling emotional response to the hypothetical situation, which I find more compelling and engaging than the more straightforward argument presented"	"Label: 1
Explanation: I find Argument 1 more convincing because it provides clear and direct reasons for turning in a spouse who has committed murder. The argument emphasizes the seriousness of the crime and the potential danger of trust"
dagstuhl-102	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it emphasizes the moral and religious aspects of the spouse's actions, which I find more emotionally impactful. The argument also raises concerns about trust and"	"Label: 1
Explanation: Although both arguments support turning in a spouse who has committed murder, I find Argument 1 more convincing due to its clear and direct reasoning. The argument highlights the seriousness of the crime and emphasizes"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more emotionally-charged perspective. The use of strong language such as ""sin"" and ""guilty"" adds a moral dimension to the"	"Label: 1
Explanation: While both arguments support turning in a murderous spouse, I find Argument 1 more convincing because it presents a clearer and more immediate rationale for doing so, focusing on the legal consequences and potential"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it emphasizes the moral and ethical implications of the spouse's actions, which I find more compelling and thought-provoking. The argument also highlights the"	"Label: 1
Explanation: While both arguments strongly advocate for turning in a murderous spouse, I find Argument 1 more convincing due to its focus on personal safety and legal consequences. The argument highlights the gravity of the crime and"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more empathetic and justifiable reason for turning in a spouse who has committed murder. The argument emphasizes the gravity of the crime, the"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and concise case for turning in a spouse who has committed murder, citing the legal consequences and potential danger to the speaker. While Argument"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more empathetic and logical perspective, while also acknowledging the severity of the crime and the potential consequences. The argument highlights the importance of"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and logical case for turning in a spouse who has committed murder, based on the legal consequences of being an accomplice. It also acknowledges"
dagstuhl-102	1,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because the fear and paranoia presented in this argument feel more tangible and immediate. The idea of a spouse going on a ""killing spree"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear and logical explanation for turning in a spouse who has committed murder. The argument emphasizes the importance of upholding the law and maintaining safety"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it presents a more personal and visceral reaction to the situation, including fear and a sense of urgency. The image of the spouse going on"	"Label: 2
Explanation: While both arguments present a case for turning in a spouse who has confessed to murder, I find Argument 2 more convincing. The argument is more concise, logical, and objective in its reasoning"	"Label: 1
Explanation: While both arguments present a case for turning in a murderous spouse, Argument 1 evokes stronger emotions due to its emphasis on fear and personal safety. The writer's concern about their spouse going on"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a clear and logical reasoning based on the legal and safety implications of the situation. It is more balanced and less emotionally driven compared to Argument 1."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and visceral response, describing a fear of the spouse going on a killing spree or targeting the speaker. This fear"	"Label: 2
Explanation: Although both arguments present valid points, I find Argument 2 to be more convincing. The argument is more logically structured and coherently presents the reasons for turning in a spouse who has committed murder"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and visceral response to the situation, including fear for the speaker's safety and a sense of moral obligation to prevent further"	"Label: 2
Explanation: Although Argument 1 presents a clear and strong stance, Argument 2 is more convincing due to its objective and logical reasoning. It focuses on the importance of upholding the law and ensuring public safety"
dagstuhl-102	2,3	"Label: 1
Explanation: While both arguments present a case for turning in a spouse who has committed murder, Argument 1 evokes stronger emotions in me due to its vivid and visceral description of fear and anxiety. The use"	"Label: 1
Explanation: While both arguments present a case for turning in a spouse who has committed murder, I find Argument 1 to be more convincing. The emotional response described in Argument 1, which includes fear, anxiety"	"Label: 1
Explanation: While both arguments present a case for turning in a spouse who has committed murder, Argument 1 evokes stronger emotions in me. The author's vivid description of their fear and anxiety upon discovering the"	"Label: 1
Explanation: Although both arguments present a clear case for turning in a spouse who has committed murder, I find Argument 1 to be more convincing. This is because it provides a more personal and emotional perspective, emphas"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it delves deeper into the speaker's personal feelings and reactions, creating a vivid image of fear, anxiety, and dread. This emotional response is more"	"Label: 1
Explanation: Although both arguments present valid points in favor of turning in a spouse who has committed murder, I find Argument 1 to be more convincing. The emotional response and visceral reaction described in Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it delves deeper into the speaker's personal feelings and reactions, creating a vivid picture of fear and anxiety that resonates with the gravity of the situation"	"Label: 1
Explanation: Although both arguments present valid points, I find Argument 1 more convincing. The writer's emotional response adds a layer of authenticity and urgency that is not present in Argument 2. The"	"Label: 1
Explanation: Although both arguments present a case for turning in a spouse who has committed murder, Argument 1 evokes stronger emotions in me due to its vivid and visceral description of the fear and anxiety that would"	"Label: 1
Explanation: Although both arguments present a case for turning in a spouse who has committed murder, I find Argument 1 to be more convincing. The writer of Argument 1 provides a more emotional and personal response,"
dagstuhl-103	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it effectively conveys a sense of fear and anxiety about the possibility of further violence, which I find compelling and unsettling. The writer's vivid"	"Label: 2
Explanation: I find Argument 2 more convincing because it presents a clear and well-reasoned position. The argument is based on the gravity of taking a life and the fear and anxiety that would result from knowing"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it effectively conveys a sense of fear and dread, making it more impactful and emotionally engaging. The vivid descriptions of the author's feelings and reactions"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more well-rounded and coherent argument. The writer effectively conveys their emotional response to the situation, while also providing logical reasons for turning"	"Label: 2

Explanation: Argument 2 evokes stronger emotions in me because it presents a more compelling and well-articulated case. The writer's use of vivid language, such as ""gravity of taking a"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a clear and well-reasoned justification for turning in a spouse who has confessed to murder. The argument acknowledges the severity of the"	"Label: 2

Explanation: Argument 2 evokes stronger emotions in me because it presents a more compelling and well-articulated case for turning in a spouse who has committed murder. The author effectively conveys a sense of"	"Label: 2
Explanation: I find Argument 2 more convincing because it provides a more well-rounded and thoughtful reasoning. It acknowledges the severity of the situation and the potential danger, but also considers the emotional"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more compelling and well-articulated case for turning in a spouse who has committed murder. The use of vivid language and detailed descriptions of"	"Label: 2
Explanation: Although Argument 1 presents a valid concern about the potential danger of the spouse, Argument 2 is more convincing due to its well-structured argument and clear explanation of the emotional response that would lead"
dagstuhl-103	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more extreme and fear-driven perspective. The suggestion that a spouse might try to kill you simply because you know the truth is a disturbing"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and logical stance, emphasizing the importance of law and personal safety. The argument is more specific about the course of action and the reasons behind"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more fearful and paranoid perspective, making me feel uneasy about the idea of a spouse turning into a potential threat. This argument"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and logical case for turning in a spouse who has committed murder. The argument highlights the legal consequences of being an accomplice to murder, and"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more extreme and fear-driven perspective. The idea of a spouse trying to kill you because you know the truth is quite distressing and ev"	"Label: 1
Explanation: I find Argument 1 more convincing because it provides a clear and concise response while also considering potential future risks. The argument acknowledges the severity of the situation and the legal consequences of being an"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more fearful and paranoid perspective, making me feel uncomfortable. The idea of constantly living in fear of being killed by one's"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and logical case for turning in a spouse who has committed murder. The argument highlights the legal consequences of being an accomplice to a crime,"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me due to its fear-mongering and paranoid tone. The idea that a spouse who confides in you about committing murder would immediately turn on you"	"Label: 1
Explanation: I find Argument 1 more convincing because it presents a clear and concise case for turning in a spouse who has committed murder. The argument is based on the seriousness of the crime and the potential"
