id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 presents a comprehensive analysis of the economic impact of bottled water consumption, including data on growth rates, production volumes, and revenue generated by the bottled water industry worldwide. It uses statistical evidence to support its"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides concrete data and statistics that directly impacts the readers' understanding and impact on their lives."	"Label: 2
Explanation: Argument 2 presents a clear and substantial evidence that supports the ban on plastic bottled water as it claims that the U. S. alone has grown by over 13%, that the global bottled water industry has exploded"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides concrete data on the volume and revenue generated by the bottled water industry, making it more relatable and impactful compared to Argument 1."	"Label: 2
Explanation: Because Argument 2 provides more concrete data and real-world examples that directly refute the argument against banning plastic bottled water, making it more convincing."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the economic impact and resource consumption of bottled water production, which directly relates to concerns about environmental sustainability and waste management."	"Label: 2
Explanation: Because Argument 2 offers substantial evidence demonstrating that the production of bottled water is significantly higher than its recycling rate and financial impact on the economy, it presents a stronger case against banning it."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the economic benefits and environmental impact of plastic bottled water, which I personally believe contribute to our country's economic downturn and environmental degradation."	"Label: 2
Explanation: Because Argument 2 offers stronger evidence and data to support its claims, making it more persuasive in presenting a clear argument against banning plastic bottled water."
dagstuhl-10	0,2	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 provides more compelling data and evidence supporting the idea that banning plastic bottled water could have significant negative consequences, such as harming the economy and contributing to waste. While Argument 1 mentions some positive aspects like"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides a clear and factual comparison between the bottled water industry and other beverage industries."	"Label: 2
Explanation: Argument 2 presents a comprehensive overview of the bottled water industry's impact on the economy and waste management, providing strong evidence for its positive aspects. It includes specific data points such as the rapid growth of the industry,"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides a detailed analysis of the bottled water industry's impact on the economy and environment, which is presented as evidence supporting the ban's benefits."	"Label: 2
Explanation: Because Argument 2 presents a clear and compelling evidence based on statistical data, while Argument 1 relies on unsupported claims and irrelevant information."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence to support its claims compared to Argument 1, making it more convincing. Argument 2 cites specific data and figures to illustrate the massive scale and economic impact of the bottled water"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 presents more data and evidence to support its argument about the significant impact of bottled water consumption on economies and environmental sustainability compared to alternatives like tap water. It includes figures such as billions of dollars spent annually"
dagstuhl-10	1,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the economic benefits and environmental concerns associated with the consumption of plastic bottled water."	"Label: 2
Explanation: Because Argument 2 offers statistical evidence that supports its claims, making it more compelling compared to Argument 1."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family. The comparison of the U.S. economy's growth rate and the increase in global bottled water consumption provides a vivid image that reson"	"Label: 2
Explanation: Argument 2 presents statistical evidence that supports the idea of prohibiting plastic bottled water, while Argument 1 relies on anecdotal evidence and unsupported claims about economic impacts. Therefore, Argument 2 offers stronger evidence to support its"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the positive aspects of bottled water consumption without mentioning any drawbacks."	"Label: 2
Explanation: Argument 2 provides more statistical evidence and factual information that directly supports its conclusion about the economic benefits of prohibiting plastic bottled water. It includes data on the worldwide production, revenue, and recycling rates of bottled water, as"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Argument 2 provides more comprehensive and accurate data that supports the argument against banning plastic bottled water, including its economic benefits, recycling potential, and reduced waste. While Argument 1 mentions the growth in bottled water consumption and"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 presents a comprehensive statistical analysis that directly supports the claim that prohibiting plastic bottled water would have a significant negative economic impact, whereas Argument 1 relies on anecdotal evidence and personal opinions, making it less"
dagstuhl-10	2,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the environmental benefits and recycling potential of bottled water compared to disposable alternatives."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence to support its claims compared to Argument 1, making it more persuasive."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the environmental benefits of using plastic water bottles compared to other forms of drinking water."	"Label: 2
Explanation: Argument 2 provides more statistical evidence and empirical data to support its position, whereas Argument 1 relies on exaggerated claims and lacks factual backing."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 presents compelling statistical evidence that supports the ban on plastic bottled water, whereas Argument 1 relies on anecdotal evidence and logical fallacies."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the environmental benefits of using reusable and recyclable containers."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and actual data points to support its claims, it offers a clearer and stronger argument against banning plastic bottled water."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Argument 2 offers more concrete evidence and statistical data to support its position, making it more persuasive. While Argument 1 includes some factual information, it does so in a manner that might seem overly simplistic or biased."
dagstuhl-102	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the ethical dilemma involved in exposing a loved one's crime."	"Label: 2
Explanation: Because Argument 2 offers more concrete evidence and data that supports the claim, making it more convincing in demonstrating the severity of the situation and the potential consequences of turning someone over to authorities."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the personal responsibility and ethical obligation to prevent future harm through confession and legal action."	"Label: 2
Explanation: Because Argument 2 offers more concrete examples and statistical data that directly supports the idea of turning over a confession to law enforcement, making it more compelling than Argument 1 which relies on emotional reasoning rather than factual evidence."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the personal impact of knowing someone's past actions on one's own conscience and mental state."	"Label: 2
Explanation: Because Argument 2 presents more evidence and reasoning that supports the idea of turning a suspect over to the authorities, making it more convincing. While both arguments discuss the ethical considerations of turning individuals over to law enforcement, Argument"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the psychological impact of confession on the individual involved."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence that supports the claim that turning someone in can help mitigate the risk of future violence compared to simply confessing, making it a stronger argument."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the ethical dilemma faced by the person who commits murder and their responsibility towards their spouse. It touches on themes of guilt, conscience, and the potential impact"	"Label: 2
Explanation: Because Argument 2 presents statistical evidence that supports the idea of turning someone in, whereas Argument 1 relies on emotional reasoning and personal experience without any factual backing. Therefore, Argument 2 is more convincing."
dagstuhl-102	1,0	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the personal consequences of committing murder, which often involve significant repercussions such as legal troubles and potential imprisonment. It also emphasizes the importance of reporting crimes promptly,"	"Label: 2
Explanation: Because Argument 2 presents a stronger case for turning someone in, providing concrete evidence and reasoning about the potential consequences of not doing so. It addresses the issue of guilt, accountability, and the risk of repeating wrongdo"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the ethical dilemma faced by individuals who confess to crimes they did not commit, emphasizing the responsibility to truthfully account for their actions and potential harm."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence to support the claim that turning someone in is necessary and justified, whereas Argument 1 relies on emotional reasoning and logical fallacies."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the potential consequences of lying to a trusted confidant, which is a serious ethical issue."	"Label: 2
Explanation: Argument 2 presents stronger evidence and statistical data to support the idea of turning someone over to the authorities. It acknowledges the risk of false accusations and emphasizes the importance of honesty and accountability in such situations. This makes Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family history and the potential consequences of lying to a trusted spouse."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and logical reasoning support than Argument 1, making it more convincing. Argument 2 presents a strong argument against turning someone over to the police, citing statistics about murder rates and"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it advocates for justice and accountability, which aligns more closely with human values and societal norms than arguing over legal rights or personal relationships."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and rational arguments supporting the idea that confessing to a spouse who committed murder can lead to legal consequences, making it more convincing. Additionally, Argument 2 emphasizes the potential psychological"
dagstuhl-102	1,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the potential consequences and risks associated with confessing to a crime, especially when it comes to trust and responsibility."	"Label: 2
Explanation: Because Argument 2 offers a stronger statistical analysis that directly addresses the ethical implications of reporting a spouse committing murder, making it more persuasive than Argument 1."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides more detailed information about legal consequences and trustworthiness of individuals involved in violent crimes."	"Label: 2
Explanation: Because Argument 2 offers a comprehensive analysis of legal implications and ethical considerations surrounding reporting a spouse's murder, while Argument 1 primarily focuses on personal reactions without addressing the broader societal impact of such behavior."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides a clear legal consequence and potential societal impact, making it more emotionally impactful than Argument 1."	"Label: 2
Explanation: Because Argument 2 presents statistical evidence and logical reasoning that directly supports the idea that reporting a spouse's murder can lead to legal consequences and help reduce future criminal behavior, whereas Argument 1 focuses solely on emotional responses without"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Because Argument 2 offers concrete evidence and statistical data to support its position, whereas Argument 1 relies on emotional reasoning and unsupported claims without providing any factual basis. This makes Argument 2 more persuasive."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it provides a clear moral and legal framework for handling the situation, while Argument 1 offers a personal perspective and potential emotional impact."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and logical reasoning than Argument 1, making it more persuasive."
dagstuhl-102	2,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the potential consequences of reporting a crime and the risks involved in trusting individuals who commit violent acts."	"Label: 2
Explanation: Because Argument 2 presents statistical evidence that supports its argument, whereas Argument 1 relies heavily on emotional reasoning rather than data, making it less persuasive."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it addresses a serious issue of justice and personal accountability, which resonates strongly with my own experiences."	"Label: 2
Explanation: Because Argument 2 offers concrete evidence and statistical data that directly supports the claim that reporting a spouse's murder can lead to legal consequences and potentially reduce the likelihood of future violent behavior, making it a stronger argument than Argument"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the emotional impact of knowing that one's partner has committed murder, which can trigger feelings of fear, guilt, and responsibility. It also emphasizes the need"	"Label: 2
Explanation: Because Argument 2 offers concrete evidence and statistical data that directly supports its position, making it more compelling than Argument 1."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the psychological impact of knowing someone has committed murder, which can lead to feelings of fear, anxiety, and a desire to protect oneself."	"Label: 2
Explanation: because Argument 2 presents additional evidence that supports the idea of reporting the crime, whereas Argument 1 relies on emotional reasoning rather than factual evidence."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the potential consequences of reporting a crime and the risks associated with trusting individuals accused of serious crimes."	"Label: 2
Explanation: because Argument 2 presents a clear argument based on evidence and logical reasoning, while Argument 1 relies heavily on emotional appeals and subjective interpretations."
dagstuhl-103	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the personal impact of committing murder on individuals' lives, which can lead to significant emotional distress and paranoia."	"Label: 2
Explanation: Argument 2 provides more statistics supporting the claim, while Argument 1 contains logical fallacies. The second argument cites data suggesting that many people believe that turning someone in could lead to a murder investigation, which is a"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it reminds me of my family."	"Label: 2
Explanation: Argument 2 provides more statistical evidence to support the idea that confessing to your spouse could lead to significant risks, including the potential for further violence. This makes Argument 2 more convincing in addressing the ethical implications of"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the potential dangers involved in reporting a suspected murderer, which is a highly charged issue in society. It also touches on the emotional impact of knowing someone's"	"Label: 2
Explanation: Because Argument 2 provides more concrete evidence and statistical data that directly supports the claim, while Argument 1 relies on emotional reasoning and lacks objective evidence."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the potential psychological impact of such a situation on both parties involved."	"Label: 2
Explanation: Argument 2 provides more statistical evidence and logical reasoning, making it stronger and more persuasive compared to Argument 1."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the psychological impact of knowing someone has committed murder, which can be deeply troubling and frightening. It also touches on the potential consequences of confiding in someone"	"Label: 2
Explanation: Argument 2 provides more statistical evidence and emotional reasoning to support the idea that turning someone in could be a riskier decision than simply not reporting. It also acknowledges the gravity of committing murder and the potential consequences, which"
dagstuhl-103	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it reflects the emotional weight of the situation and the potential consequences of turning someone over to law enforcement."	"Label: 2
Explanation: Because Argument 2 offers more concrete evidence and statistical data to support the idea that turning someone in for murder is a reasonable action, making it more persuasive. It addresses the potential risks of not reporting such crimes, which"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the psychological impact of such information and the potential consequences for both parties involved."	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and reasoning to support the conclusion compared to Argument 1, which relies more on emotional appeals and subjective opinions."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it highlights the fear and anxiety associated with being caught in such a situation."	"Label: 2
Explanation: Because Argument 2 presents evidence and statistical data that provide strong support for the idea that turning someone in after knowing they committed murder would be a wise decision. It cites specific studies and expert opinions to illustrate how such a"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the potential consequences of confessing to a spouse who has committed murder, which can lead to serious legal repercussions and personal distress. This comparison underscores the gravity"	"Label: 2
Explanation: Because Argument 2 provides more statistical evidence and reasoning to support the idea of turning someone in, whereas Argument 1 relies solely on emotional responses and personal intuition without any factual backing."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it highlights the potential consequences of not turning someone in, which is a serious issue that many people deal with daily."	"Label: 2
Explanation: Because Argument 2 offers more statistical evidence and logical reasoning to support the conclusion that turning them in would be advisable, whereas Argument 1 relies on emotional reasoning and lacks any factual backing."
