id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	emo_4	conv_4	emo_5	conv_5
dagstuhl-10	0,1	"Label: 0
Explanation: Both arguments present factual information and statistics, but neither text particularly evokes strong emotions in me. They both focus on economic aspects rather than emotional appeals, and neither argument uses rhetoric that would strongly provoke an emotional response."	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific numerical data about the growth of the bottled water industry and the significant financial impact on the global market, which lends more credibility and support to its stance."	"Label: 0
Explanation: Both arguments present factual information and statistics without evoking strong emotional responses. They both discuss the economic benefits of bottled water and recycling efforts, focusing more on logical reasoning rather than emotional appeals. Therefore, neither argument evokes"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific statistics about the growth of the bottled water industry and the significant financial impact on the global market. These facts make the argument more substantiated and harder to refute compared to"	"Label: 0
Explanation: Both arguments present factual information and statistics without evoking strong emotional responses. They focus on economic aspects and recycling rates rather than stirring up intense feelings. Neither argument particularly appeals to emotions in a significant way."	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data and statistics about the growth and economic impact of the bottled water industry, which makes the argument more credible and compelling."	"Label: 0
Explanation: Both arguments present facts and figures without strong emotional language or personal attacks. They focus more on providing statistical evidence to support their viewpoints rather than evoking emotions. Therefore, neither argument evokes particularly strong emotions in me."	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific numerical data about the growth and financial impact of the bottled water industry, which supports the stance against banning plastic bottled water with concrete evidence."	"Label: 0
Explanation: Both arguments provide factual information and statistics without evoking strong emotions. They both present reasons against banning plastic bottled water, focusing on economic benefits and recycling efforts. Neither argument uses emotionally charged language or attempts to provoke a strong"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific numerical data and examples that support the economic impact of the bottled water industry, making the argument more factual and compelling. Argument 1, while trying to make a case"
dagstuhl-10	0,2	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 attempts to rationalize against the ban by highlighting economic benefits and recycling efforts, while Argument 2 emphasizes the scale and"	"Label: 2
Explanation: Argument 2 is more convincing because it provides concrete data and statistics about the global and domestic consumption of bottled water, which lends credibility to its points and supports the case for banning plastic water bottles."	"Label: 0
Explanation: Both arguments evoke a similar level of emotional response, as neither argument particularly appeals to strong emotions or evokes a visceral reaction. Instead, both arguments focus more on providing statistical evidence and economic reasoning, which does not inherently"	"Label: 2
Explanation: Argument 2 is more convincing because it provides concrete statistics about the global and U.S. bottled water market, making the argument more factual and compelling. The use of specific figures and the scale of production helps to illustrate"	"Label: 0
Explanation: Both arguments evoke similar levels of emotional response, as neither argument particularly stirs strong personal feelings or emotions. Instead, both arguments present factual information and economic data aimed at supporting their respective stances without evoking strong emotional"	"Label: 2
Explanation: Argument 2 is more convincing because it provides concrete data and figures about the global and U.S. bottled water market, which lends credibility and supports the argument with statistical evidence. Argument 1, while trying to make"	"Label: 0
Explanation: Both arguments evoke a similar level of emotional engagement. Argument 1 tries to justify keeping plastic bottled water by highlighting economic benefits and recycling potential, while Argument 2 emphasizes the scale and growth of the bottled water industry."	"Label: 2
Explanation: Argument 2 is more convincing because it presents concrete statistics about the global and American bottled water market, providing a clearer picture of the economic impact and consumer behavior. While Argument 1 does mention some economic benefits, the"	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 tries to justify the use of plastic water bottles by emphasizing economic benefits and recycling efforts, while Argument 2 highlights the"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data and statistics about the global and U.S. bottled water industry, which supports its stance more effectively and persuasively."
dagstuhl-10	1,3	"Label: 0
Explanation: Both arguments do not evoke strong emotional responses from me. Argument 1 focuses on the growth and economic impact of the bottled water industry, while Argument 2 discusses the potential economic benefits of bottled water during a recession and"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data on the minimal environmental impact of plastic bottled water and highlights its economic benefits during a recession, making a stronger case against banning plastic water bottles."	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 provides statistical data on the growth of the bottled water industry but does not explicitly express strong emotions or opinions. Argument"	"Label: 2
Explanation: Argument 2 is more convincing because it presents a balanced view, addressing potential economic benefits and environmental concerns related to plastic bottled water. It also provides specific data from a reputable source, which lends credibility to its claims."	"Label: 0
Explanation: Neither argument particularly evokes strong emotions in me. Both arguments present factual information without strong emotional language or persuasive rhetoric that would typically stir up significant feelings. They focus more on providing statistics and economic data rather than appealing to"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data about the economic benefits of bottled water sales and highlights that bottled water makes up a small percentage of global waste, which can be recycled. These points make a stronger"	"Label: 0
Explanation: Both arguments evoke a similar level of emotional response, or rather, neither argument evokes strong emotions. Argument 1 focuses on the economic growth of the bottled water industry without expressing any particular sentiment or emotional appeal. Argument"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data on the economic benefits of bottled water and highlights its recyclability, making a stronger case against banning plastic bottled water at this time."	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 focuses on the growth and financial aspects of the bottled water industry, while Argument 2 addresses the economic benefits and recycl"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data from reliable sources to support its claims, such as the contribution of bottled water sales to the economy during a recession and the recyclability of PET water bottles. These"
dagstuhl-10	2,3	"Label: 0
Explanation: Both arguments evoke a similar level of emotional response. Argument 1 aims to highlight the environmental impact and economic growth of the bottled water industry, while Argument 2 focuses on the economic benefits and recyclability of bottled water"	"Label: 2
Explanation: Argument 2 is more convincing, as it provides specific data about the economic benefits of bottled water and addresses the recyclability issue, which makes its points more grounded and relatable in the context of a current economic situation"	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 highlights the environmental impact and economic aspects of the bottled water industry, aiming to provoke a sense of concern and possibly guilt"	"Label: 2
Explanation: Argument 2 is more convincing, as it provides specific data about the economic benefits of bottled water and highlights its recyclability. These points make a stronger case against banning plastic bottled water compared to Argument 1, which"	"Label: 0
Explanation: Both arguments evoke a similar level of emotional response, or rather, neither argument evokes strong emotions. Argument 1 focuses more on presenting facts and statistics without a clear emotional appeal, while Argument 2 also sticks to"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data and addresses potential economic benefits and recycling capabilities of plastic bottled water, making a stronger case against a ban."	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 presents facts and statistics in a neutral tone, focusing on the economic and environmental impacts of the bottled water industry without explicitly"	"Label: 2
Explanation: Argument 2 is more convincing because it presents specific data about the economic benefits of bottled water and addresses the recyclability issue, making a stronger case against banning plastic bottled water."	"Label: 0
Explanation: Both arguments evoke a similar level of emotion, or neither argument evokes strong emotions. Argument 1 focuses on the economic and environmental impacts of the bottled water industry, presenting facts and statistics without strong emotional language. Argument"	"Label: 2
Explanation: Argument 2 is more convincing because it provides specific data about the economic impact and recycling rates of plastic bottled water, which makes the argument more factual and compelling. Argument 1, while providing interesting statistics, does not"
dagstuhl-102	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a more vivid and emotionally charged picture of the fear and anxiety that would accompany such knowledge. The use of phrases like ""sending chills down my spine"""	"Label: 2
Explanation: Argument 2 is more convincing because it emphasizes the fear and anxiety that would arise upon learning such a horrific truth, and the desire to protect oneself and others from potential future harm. This argument effectively conveys the psychological"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a more vivid and disturbing picture of the situation, highlighting the fear and dread that the speaker would experience upon learning of their spouse's actions. The language used"	"Label: 2
Explanation: Argument 2 is more convincing because it elaborates on the emotional and psychological impact of knowing someone has committed murder, which can create a strong urge to protect oneself and others. It also emphasizes the fear and anxiety that"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a more intense and visceral reaction to the situation. The use of phrases like ""sending chills down my spine,"" ""overwhelming sense of fear and"	"Label: 2
Explanation: Argument 2 is more convincing because it effectively conveys the emotional and psychological impact of knowing a spouse has committed murder, which could drive someone to take action to ensure their safety and that of others. The use of"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it vividly conveys the intense fear and anxiety that the speaker feels upon learning of the murder. The use of phrases like ""sending chills down my spine"""	"Label: 2
Explanation: Argument 2 is more convincing because it elaborates on the psychological impact of knowing a spouse has committed murder and the fear of potential future harm, which resonates more strongly with the reader's emotions and concerns."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it vividly conveys a sense of fear and dread, painting a more intense emotional picture of the consequences of harboring a murderer. The use of phrases like """	"Label: 2
Explanation: Argument 2 is more convincing because it elaborates on the psychological impact of knowing someone has committed murder and the fear of potential future harm, which aligns well with the emotional response many people might have in such a"
dagstuhl-102	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a sense of moral outrage and fear, emphasizing the speaker's distrust and the potential for further harm. The language used is more direct and emotionally charged compared"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a broader perspective on the consequences of harboring a murderer and emphasizes the potential risks involved. It also touches on the moral implications and the possibility of the murderer repeating their actions"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a sense of moral righteousness and fear, which are more intense than the straightforward duty expressed in Argument 1. The use of phrases like ""it's"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a broader perspective, emphasizing the moral implications of harboring a murderer and the potential risks to the speaker's safety. It also suggests that turning the person in might lead to"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it expresses a deeper sense of moral outrage and a more intense emotional reaction to the act of murder. The language used in Argument 2 conveys a stronger sense of"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a deeper rationale for turning the spouse in, including concerns about future safety and the moral implications of harboring a murderer. It also mentions the potential for the spouse to take"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a sense of moral judgment and fear that is more intense than Argument 1. The language used in Argument 2 is more direct and emotionally charged,"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a stronger moral stance against the act of murder and emphasizes the potential dangers of harboring a murderer. It also highlights the importance of justice and the need to prevent future harm"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it expresses a more intense and definitive stance on the matter, emphasizing moral judgment and fear of potential future harm. The language used in Argument 2 is more direct"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a broader perspective on the consequences of harboring a murderer and emphasizes the importance of justice and safety. It also touches on the psychological impact on the confidant and the"
dagstuhl-102	1,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it conveys a sense of immediate and strong reaction, highlighting the fear and potential danger involved in the scenario. The use of phrases like ""major trouble"" and"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a rationale for reporting the spouse based on legal and safety considerations, rather than making an emotional appeal. It also addresses the potential risks of not reporting the crime and emphasizes the"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it conveys a sense of immediate action and strong moral conviction, emphasizing the fear and consequences of non-action in a high-stakes situation. The language used in"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a clearer rationale for reporting the spouse, emphasizing legal accountability and the protection of oneself and others. It also highlights the risks associated with maintaining trust in someone who has committed a"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it conveys a sense of immediate action and decisiveness, emphasizing the emotional impact of the situation through direct and unambiguous language. The use of phrases like """	"Label: 2
Explanation: Argument 2 is more convincing because it provides a reasoned approach to the situation, emphasizing legal consequences and the risks associated with non-reporting. It also addresses the broader implications of trust and responsibility in a relationship."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it directly conveys a sense of immediate action and personal risk, which can be more emotionally charged compared to Argument 2, which is more measured and focuses on legal"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a clearer rationale for reporting the spouse, emphasizing legal accountability and the potential risks involved. It also highlights the importance of trust and responsibility in a relationship, making the argument more"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it directly expresses a more decisive and emotionally charged stance, including phrases like ""major trouble,"" ""going on another killing spree,"" and ""decides to kill me"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a clearer rationale for reporting the spouse, emphasizing legal consequences and the risk involved in trusting someone who has committed murder. It also addresses the moral and ethical implications more comprehensively"
dagstuhl-102	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid and intense emotional picture of fear and anxiety, which are more compelling and emotionally charged compared to the more matter-of-fact tone of Argument 2"	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and ethical responsibilities one has when a spouse commits a crime, and it emphasizes the importance of upholding the law and ensuring public safety. While Argument 1"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it vividly describes the psychological impact of the situation, using phrases like ""chills down my spine"" and ""haunting possibility of further violence,"" which create"	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and moral implications of the situation, emphasizing the importance of accountability and deterring future crimes. It provides a clear rationale for reporting the spouse, which is grounded"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid and fearful picture of the situation, using phrases like ""chills down my spine"" and ""haunting possibility of further violence,"" which create a"	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and moral responsibilities that come with knowing about a crime. It emphasizes the importance of upholding the law and ensuring justice, rather than just personal fear or discomfort"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, because it vividly conveys the intense fear and anxiety that the speaker experiences upon learning of their spouse's murder. The use of phrases like ""chilling"" and"	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and ethical responsibilities one has when faced with such a situation. It emphasizes the importance of upholding the law and ensuring justice, rather than just the emotional response"	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid and emotionally charged scenario that elicits feelings of fear, anxiety, and a strong moral imperative to take action. The use of phrases like ""ch"	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and ethical responsibilities of reporting a crime, emphasizing the importance of accountability and public safety. While Argument 1 effectively conveys the emotional distress of the situation,"
dagstuhl-103	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more vivid and detailed emotional response to the scenario. The use of phrases like ""taking a life is profound and deeply unsettling"" and ""my heart would"	"Label: 2
Explanation: Argument 2 is more convincing because it addresses the emotional and psychological impact of knowing such a heinous crime has been committed. It emphasizes the fear and anxiety that would likely arise, which could drive someone to take action"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a more vivid and intense emotional response. While both arguments express strong feelings, Argument 2 does so through more detailed and nuanced language, painting a clearer"	"Label: 2
Explanation: Argument 2 is more convincing because it emphasizes the emotional and psychological impact of knowing someone has committed murder, which could lead to a stronger moral imperative to report the crime. The argument also highlights the broader concern for safety"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it delves deeper into the psychological and emotional impact of knowing someone has committed murder. The use of phrases like ""the gravity of taking a life,"" ""deeply"	"Label: 2
Explanation: Argument 2 is more convincing because it addresses the emotional and psychological impact of knowing someone has committed murder, which can be compelling and relatable. It also emphasizes the desire to protect oneself and others, which is a"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it conveys a deeper sense of fear, anxiety, and moral unease. The language used in Argument 2 paints a vivid picture of the potential for continued violence"	"Label: 2
Explanation: Argument 2 is more convincing because it emphasizes the emotional impact and moral responsibility of the situation, which can be more compelling and relatable to many people. It also highlights the broader implications of not reporting the crime,"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more vivid and emotionally charged scenario. While both arguments express strong emotions, Argument 2 does so through a more detailed and nuanced description of the psychological impact"	"Label: 2
Explanation: Argument 2 is more convincing because it emphasizes the emotional and psychological impact of knowing someone has committed murder, which can lead to a strong moral obligation to report the crime. It also highlights the fear and anxiety that could"
dagstuhl-103	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it presents a more extreme and disturbing scenario, which elicits a stronger emotional response. The argument suggests a level of paranoia and fear that the accused might turn on the"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more nuanced perspective on the potential dangers and psychological pressures involved, which could make the decision to turn in a spouse more complex and understandable."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a more vivid and disturbing picture of betrayal and potential violence, which naturally elicits stronger emotional responses such as fear, anger, and revulsion. While both"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a deeper psychological perspective on the potential consequences of not turning in a spouse who has committed murder. It highlights the fear and uncertainty that might arise in such a situation, which"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a more vivid and unsettling picture of betrayal and potential violence. It highlights the fear and paranoia that might arise from such a situation, which can be more emotionally"	"Label: 2
Explanation: Argument 2 is more convincing because it highlights the potential danger and betrayal one might face if they do not report their spouse. It also emphasizes the unpredictable nature of a person's actions when under pressure, which makes the"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a more vivid and disturbing picture of betrayal and potential violence, which elicits feelings of fear and revulsion. The language used in Argument 2 suggests a"	"Label: 2
Explanation: Argument 2 is more convincing, as it highlights the potential for betrayal and self-preservation, which can be a powerful motivator. It also emphasizes the uncertainty and fear that might drive someone to take drastic action to"	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me, because it paints a more vivid and disturbing scenario of betrayal and potential violence, which elicits a stronger emotional response compared to Argument 1. Argument 2's emphasis"	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more detailed and relatable scenario that highlights the potential dangers and psychological pressures involved in such a situation, making the decision to turn in one's spouse seem more rational and"
