	id	ids	emo_1	conv_1	emo_2	conv_2	emo_3	conv_3	conv_4	conv_5
0	dagstuhl-10	0,1	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective. The argument highlights the positive impact of purchasing bottled water on the economy, which resonates with me on a human level. Additionally, the mention of recycling efforts adds a layer of responsibility and hope for a more sustainable future. Argument 1 appeals to my emotions by focusing on the immediate benefits and practicality of consuming bottled water."	"Label: 1
Explanation: Argument 1 is more convincing as it provides information on the positive economic impact of the bottled water industry and highlights the recycling efforts. It presents a more well-rounded view of the topic compared to Argument 2, which solely focuses on the financial aspects."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more personal and relatable perspective, highlighting the impact on the economy and the importance of every bit of help during a recession."	"Label: 1
Explanation: Argument 1 is more convincing because it provides specific information about the recycling of PET water bottles and highlights the economic benefits of the bottled water industry. This argument presents a more balanced view of the topic."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a more passionate and personal view on the topic. The argument highlights the economic benefits of bottled water sales and emphasizes the importance of every contribution to the economy during a recession. This perspective triggers a sense of urgency and significance, which resonates with me more than the statistics presented in Argument 2."	"Label: 1
Explanation: Argument 1 is more convincing because it provides statistics and information on the recyclability of plastic water bottles, which addresses environmental concerns related to the topic. Additionally, it highlights the economic impact of the bottled water industry, making a case for its importance in the current economic climate."	"Label: 1
Explanation: Argument 1 is more convincing because it provides specific data on the recycling of plastic water bottles and highlights the economic impact of the industry, making a compelling case against the ban. Argument 2 focuses more on the financial aspects without addressing the environmental concerns associated with plastic bottles."	"Label: 1
Explanation: Argument 1 is more convincing because it provides information on the recyclability of plastic water bottles and highlights their economic impact, which makes a stronger case for not banning them."
1	dagstuhl-10	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it highlights the excessive consumption and reliance on bottled water, which I find concerning and wasteful. The staggering statistics mentioned in Argument 2 evoke a sense of outrage towards the environmental impact and consumer behavior associated with the bottled water industry."	"Label: 2
Explanation: Argument 2 is more convincing as it provides concrete statistics and figures to highlight the massive scale of the bottled water industry, making a stronger case against its continued use."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it paints a vivid picture of the excessive consumption and reliance on bottled water, which I find concerning and alarming. The staggering statistics mentioned in Argument 2 evoke a sense of frustration and disbelief about the environmental impact and the wastefulness of the bottled water industry."	"Label: 2
Explanation: Argument 2 is more convincing because it presents concrete data and statistics about the massive scale of the bottled water industry, highlighting the significant impact it has on the economy."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me as it highlights the excessive consumption and reliance on plastic bottled water, which I find concerning and disturbing. The staggering statistics presented in Argument 2 evoke a sense of urgency and frustration towards the environmental impact and wastefulness of the bottled water industry."	"Label: 2
Explanation: Argument 2 is more convincing because it provides concrete data and statistics to support the idea that the bottled water industry is thriving. The mention of the industry's revenue and the scale of production gives a clearer picture of the impact of banning plastic water bottles."	"Label: 2
Explanation: Argument 2 is more convincing as it provides concrete statistics and figures to highlight the sheer scale of the bottled water industry, making a stronger case for the negative impacts of its production and consumption."	"Label: 2
Explanation: Argument 2 is more convincing because it presents concrete data and statistics about the massive scale of the bottled water industry, which highlights the environmental impact and excessive consumption."
2	dagstuhl-10	1,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it brings up the economic aspect of banning plastic water bottles, which I find to be a weak argument compared to the environmental concerns raised in Argument 1. The idea of prioritizing economic benefits over environmental impact triggers a stronger emotional response in me."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more balanced perspective by highlighting the economic contributions of the bottled water industry and the recyclability of PET bottles. It also addresses the issue of waste management, which is an important consideration in the discussion of banning plastic water bottles."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents shocking statistics about the massive scale of the bottled water industry, which angers me and makes me feel compelled to take action against it."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more balanced perspective by considering the economic impact of banning plastic water bottles and highlighting the recyclability of PET bottles."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it brings up the economic aspect of the issue and how banning plastic water bottles could potentially harm the economy during a time of recovery from a recession. This argument appeals to my emotions by highlighting the importance of every contribution to the economy and the recyclability of PET water bottles."	"Label: 2
Explanation: Argument 2 is more convincing as it provides a more well-rounded perspective on the issue. It acknowledges the economic impact of banning plastic water bottles and also highlights the recyclability of these bottles. Additionally, the statistic about PET water bottles being the most recycled containers adds a strong point in favor of not banning plastic water bottles."	"Label: 2
Explanation: Argument 2 is more convincing. It provides a more balanced view by considering the economic impact and recycling aspect of plastic bottled water, which are important factors to consider alongside the environmental concerns raised in Argument 1."	"Label: 2
Explanation: Argument 2 is more convincing. It provides a more balanced view by considering the economic impact of banning plastic water bottles and highlighting the recyclability of PET bottles."
3	dagstuhl-10	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it paints a vivid picture of the massive scale of plastic water bottle consumption and the detrimental impact it has on the environment. It evokes feelings of concern and urgency to address this issue."	"Label: 2
Explanation: Argument 2 is more convincing because it provides practical reasons for not banning plastic water bottles, such as their contribution to the economy and their recyclability."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it vividly portrays the negative impact of the bottled water industry, making me feel shocked and concerned about the scale of consumption and its environmental consequences."	"Label: 2
Explanation: Argument 2 is more convincing because it highlights the economic impact of banning plastic water bottles and emphasizes the recyclability of PET bottles. This practical approach to the issue resonates with me more."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it vividly portrays the scale of the issue and the impact of our reliance on plastic water bottles. The staggering statistics mentioned evoke a sense of concern and urgency to address the problem."	"Label: 2
Explanation: Argument 2 is more convincing because it brings up valid points about the economic impact of banning plastic water bottles and highlights the recyclability of PET bottles."	"Label: 2
Explanation: Argument 2 is more convincing because it brings up valid points about the economic impact of banning plastic bottled water and highlights the recyclability of such containers."	"Label: 2
Explanation: Argument 2 is more convincing because it highlights the economic impact of banning plastic water bottles, the recyclability of the bottles, and the relatively low contribution of bottled water to global waste."
4	dagstuhl-102	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me as it vividly describes the fear and anxiety that would arise from knowing someone close to me has committed murder. The sense of dread and the urgency to protect oneself and others from potential harm is deeply unsettling and evokes a stronger emotional response compared to Argument 1."	"Label: 2
Explanation: Argument 2 is more convincing. The argument emphasizes the gravity of the situation and the potential danger of not turning in the spouse. It also highlights the fear and anxiety that would arise from knowing about the murder, making a strong case for reporting the crime."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me. The vivid description of the fear and anxiety that comes with knowing someone has committed murder is extremely unsettling and invokes a strong sense of dread. The mention of the haunting possibility of further violence is particularly chilling and evokes a stronger emotional response compared to Argument 1."	"Label: 2
Explanation: Argument 2 is more convincing to me because it delves into the emotional and psychological impact of knowing someone has committed murder, which resonates with my own feelings and fears."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me. The vivid description of fear, anxiety, and dread that the speaker feels upon learning about the murder committed by their spouse creates a more intense emotional response compared to the more practical and logical approach in Argument 1. The idea of feeling compelled to protect oneself and others from the haunting possibility of further violence resonates with me on a deep emotional level."	"Label: 2
Explanation: Argument 2 is more convincing to me because it delves deeper into the emotional impact of knowing someone has committed murder and the fear of potential future harm. It highlights the gravity of the situation and the need to protect oneself and others from further violence."	"Label: 2
Explanation: Argument 2 is more convincing to me because it delves deeper into the emotional and psychological impact of knowing that someone has committed murder. The sense of fear and anxiety described in Argument 2 resonates with me and makes a stronger case for turning in the spouse to prevent any further violence."	"Label: 2
Explanation: Argument 2 is more convincing. It delves deeper into the emotional and psychological impact of knowing a spouse has committed murder, making a compelling case for turning them in to prevent further harm."
5	dagstuhl-102	1,0	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me as well. The mention of the sin and the potential danger the murderer poses evoke strong feelings of moral responsibility and fear, making this argument more emotionally impactful."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a logical perspective on the situation, highlighting the importance of accountability and potential danger in trusting a murderer."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me. The idea of turning in a loved one for committing murder is already emotionally charged, but the way Argument 2 emphasizes the sin, guilt, and lack of trust associated with the situation intensifies the emotional response."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more structured and logical reasoning behind turning in the spouse who committed murder. It highlights the importance of accountability and the potential danger of trusting a murderer."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me as well. The mention of sin and the potential danger posed by a murderer hits a nerve and elicits a strong emotional response."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a stronger rationale for turning in the spouse who committed murder. The argument highlights the importance of accountability and the potential danger of trusting a murderer."	"Label: 2
Explanation: Argument 2 is more convincing because it brings up valid points about the consequences of not turning in a murderer and the potential danger of trusting someone who has committed such a serious crime."	"Label: 2
Explanation: Argument 2 is more convincing because it presents a stronger case for turning in the spouse by highlighting the potential danger and lack of trust associated with keeping such a secret."
6	dagstuhl-102	1,3	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it emphasizes the seriousness of the crime committed and the need for legal consequences. The idea of trusting someone who has committed murder and the potential risks involved evoke strong feelings of disbelief and concern."	"Label: 2
Explanation: Argument 2 is more convincing as it provides a logical reasoning behind reporting the spouse to the authorities. It emphasizes the seriousness of the crime committed and the need for legal consequences to prevent future offenses."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because the idea of turning in a loved one for murder, regardless of the circumstances, triggers a strong sense of betrayal and internal conflict."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a logical reasoning behind reporting the spouse to the authorities, emphasizing the importance of legal consequences and deterrence."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me, as the idea of turning in a loved one for murder, regardless of the circumstances, is deeply unsettling and heartbreaking. The raw emotion and conflict in the first argument resonates with me more strongly."	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal consequences of the crime and emphasizes the importance of accountability and deterrence."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a logical and practical reason for reporting the spouse to the authorities. The emphasis on legal consequences and the potential risk involved in trusting someone who has committed murder resonates with me."	"Label: 2
Explanation: Argument 2 is more convincing. It provides a logical and practical approach by highlighting the legal consequences and potential risks of not reporting the crime. The argument emphasizes the importance of accountability and the need to prevent future offenses."
7	dagstuhl-102	2,3	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it delves into the emotional turmoil of being in such a difficult situation and the fear that would arise from knowing someone close has committed such a serious crime. It brings up feelings of dread and anxiety, which resonate with me more strongly than the legal and logical reasoning presented in Argument 2."	"Label: 1
Explanation: Argument 1 is more convincing because it delves into the emotional and psychological impact of knowing about a murder committed by a loved one. The fear, anxiety, and sense of dread described in Argument 1 resonate with me and make a strong case for reporting the crime to prevent further harm."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it delves into the personal and emotional turmoil of the situation, highlighting the fear and anxiety that would come with such a confession. The vivid description of the chilling realization that someone close to you is capable of murder evokes a stronger emotional response compared to the legal and rational argument presented in Argument 2."	"Label: 2
Explanation: Argument 2 is more convincing because it focuses on the legal and ethical implications of the situation, emphasizing the importance of accountability and deterrence."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it portrays the intense fear and anxiety that would come with knowing someone close committed murder. The emotional turmoil described in Argument 1 resonates more with me than the logical consequences outlined in Argument 2."	"Label: 1
Explanation: Argument 1 is more convincing to me because it emphasizes the emotional and moral weight of the situation. The fear and anxiety described, along with the sense of responsibility towards preventing further harm, resonate with me on a deeper level."	"Label: 1
Explanation: Argument 1 is more convincing to me because it delves into the emotional impact of the situation, highlighting the fear and anxiety that would arise from knowing someone has committed murder. This personal perspective makes the argument more relatable and compelling."	"Label: 2
Explanation: Argument 2 is more convincing to me because it focuses on the legal and ethical implications of the situation. Reporting the spouse to the authorities is necessary to uphold justice and prevent future harm."
8	dagstuhl-103	0,2	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it delves into the deep emotional impact of discovering that a loved one has committed murder. The vivid description of fear, anxiety, and dread that the speaker would experience resonates with me more strongly than the paranoid and somewhat unrealistic scenario presented in Argument 1. The idea of feeling compelled to call the police to protect oneself from a potential threat strikes a chord with me and evokes a stronger emotional response."	"Label: 2
Explanation: Argument 2 is more convincing because it delves into the emotional turmoil and fear that comes with knowing someone has committed murder, making a compelling case for turning them in to prevent further harm."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me. The vivid descriptions of fear, anxiety, and dread that come with the realization that someone close to you has committed murder really struck a chord with me. The idea of feeling compelled to call the police to protect oneself and others from potential harm is a powerful and unsettling image."	"Label: 2
Explanation: Argument 2 is more convincing because it provides a more detailed and logical explanation for why turning in the spouse is necessary for the safety of oneself and others. The mention of feeling compelled to call the police to prevent further violence resonates with me."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me. The vivid description of the fear, anxiety, and dread that would come with knowing someone has committed murder resonates deeply. The idea of feeling compelled to protect oneself and others from the possibility of further violence is both chilling and emotionally impactful."	"Label: 2
Explanation: Argument 2 is more convincing. It provides a clear explanation of the fear and responsibility that comes with knowing about a murder, which resonates with me more than the vague threat mentioned in Argument 1."	"Label: 2
Explanation: Argument 2 is more convincing. It provides a clear and logical explanation for why the spouse should be turned in, emphasizing the gravity of the situation and the need to protect oneself and others from potential harm."	"Label: 2
Explanation: Argument 2 is more convincing. It delves deeper into the emotional and moral complexities of the situation, making a compelling case for turning in the spouse to prevent further harm."
9	dagstuhl-103	1,0	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because it presents a clear stance on the situation and the speaker's commitment to turning in their spouse, even if they are conflicted about it. The mention of potential consequences and the need to prevent further harm adds a sense of urgency and moral responsibility."	"Label: 1
Explanation: Argument 1 is more convincing because it presents a logical and practical approach to the situation. The argument acknowledges the severity of the crime committed and the potential risks involved in harboring someone who has committed murder."	"Label: 2
Explanation: Argument 2 evokes stronger emotions in me because it creates a sense of fear and betrayal, making me feel uneasy and disturbed by the idea of a loved one turning on me for knowing their secret."	"Label: 2
Explanation: Argument 2 is more convincing. It brings up a valid point about the potential danger of the spouse turning on you if you know their secret. This adds a layer of self-preservation that is quite convincing."	"Label: 1
Explanation: Argument 1 evokes stronger emotions in me because of the strong stance on taking responsibility for the murder committed by the spouse, regardless of the circumstances. The argument's straightforward approach to calling the police resonates with me more emotionally."	"Label: 2
Explanation: Argument 2 is more convincing. It raises the valid concern of self-preservation and the fear of being turned on by the spouse who committed murder. This fear is a compelling reason to turn them in."	"Label: 1
Explanation: Argument 1 is more convincing. It presents a logical and practical approach to the situation, emphasizing the importance of preventing any further harm by reporting the crime. The argument also highlights the potential danger of keeping such a secret, making a strong case for why turning in the spouse is the right thing to do."	"Label: 1
Explanation: Argument 1 is more convincing because it presents a logical and straightforward approach to the situation. The argument acknowledges the seriousness of the crime committed and the potential dangers of not reporting it."
