dataset,annotator,category,id,rate
dagstuhl,0,c,dagstuhl-10,100.0
dagstuhl,0,c,dagstuhl-197,100.0
dagstuhl,0,c,dagstuhl-223,100.0
dagstuhl,0,c,dagstuhl-227,100.0
dagstuhl,0,c,dagstuhl-230,33.33333333333333
dagstuhl,0,c,average,86.66666666666666
dagstuhl,0,p,dagstuhl-10,0.0
dagstuhl,0,p,dagstuhl-197,0.0
dagstuhl,0,p,dagstuhl-223,0.0
dagstuhl,0,p,dagstuhl-227,0.0
dagstuhl,0,p,dagstuhl-230,66.66666666666666
dagstuhl,0,p,average,13.333333333333332
dagstuhl,0,n,dagstuhl-10,0.0
dagstuhl,0,n,dagstuhl-197,0.0
dagstuhl,0,n,dagstuhl-223,0.0
dagstuhl,0,n,dagstuhl-227,0.0
dagstuhl,0,n,dagstuhl-230,0.0
dagstuhl,0,n,average,0.0
dagstuhl,1,c,dagstuhl-10,66.66666666666666
dagstuhl,1,c,dagstuhl-197,0.0
dagstuhl,1,c,dagstuhl-223,0.0
dagstuhl,1,c,dagstuhl-227,33.33333333333333
dagstuhl,1,c,dagstuhl-230,0.0
dagstuhl,1,c,average,19.999999999999996
dagstuhl,1,p,dagstuhl-10,0.0
dagstuhl,1,p,dagstuhl-197,0.0
dagstuhl,1,p,dagstuhl-223,100.0
dagstuhl,1,p,dagstuhl-227,0.0
dagstuhl,1,p,dagstuhl-230,66.66666666666666
dagstuhl,1,p,average,33.33333333333333
dagstuhl,1,n,dagstuhl-10,33.33333333333333
dagstuhl,1,n,dagstuhl-197,100.0
dagstuhl,1,n,dagstuhl-223,0.0
dagstuhl,1,n,dagstuhl-227,66.66666666666666
dagstuhl,1,n,dagstuhl-230,33.33333333333333
dagstuhl,1,n,average,46.666666666666664
dagstuhl,10,c,dagstuhl-103,33.33333333333333
dagstuhl,10,c,dagstuhl-24,0.0
dagstuhl,10,c,dagstuhl-248,66.66666666666666
dagstuhl,10,c,dagstuhl-49,66.66666666666666
dagstuhl,10,c,dagstuhl-59,33.33333333333333
dagstuhl,10,c,average,39.999999999999986
dagstuhl,10,p,dagstuhl-103,66.66666666666666
dagstuhl,10,p,dagstuhl-24,100.0
dagstuhl,10,p,dagstuhl-248,33.33333333333333
dagstuhl,10,p,dagstuhl-49,33.33333333333333
dagstuhl,10,p,dagstuhl-59,0.0
dagstuhl,10,p,average,46.666666666666664
dagstuhl,10,n,dagstuhl-103,0.0
dagstuhl,10,n,dagstuhl-24,0.0
dagstuhl,10,n,dagstuhl-248,0.0
dagstuhl,10,n,dagstuhl-49,0.0
dagstuhl,10,n,dagstuhl-59,66.66666666666666
dagstuhl,10,n,average,13.333333333333332
hansard,100,c,hansard-1412,0.0
hansard,100,c,hansard-3876,100.0
hansard,100,c,hansard-476,100.0
hansard,100,c,hansard-5334,0.0
