id,ids,category,round,dataset,model,prompt
dagstuhl-10,"0,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-10,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-10,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-102,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-102,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-102,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-103,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-103,"3,1",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-103,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-110,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-110,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-110,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-116,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-116,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-116,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-12,"0,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-12,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-12,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-14,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-14,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-14,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-17,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-17,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-17,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-189,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-189,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-189,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-193,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-193,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-193,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-195,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-195,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-195,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-197,"0,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-197,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-197,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-198,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-198,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-198,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-202,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-202,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-202,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-203,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-203,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-203,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-204,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-204,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-204,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-205,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-205,"3,1",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-205,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-206,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-206,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-206,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-216,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-216,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-216,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-218,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-218,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-218,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-221,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-221,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-221,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-223,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-223,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-223,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-224,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-224,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-224,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-225,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-225,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-225,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-226,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-226,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-226,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-227,"0,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-227,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-227,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-23,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-23,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-23,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-230,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-230,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-230,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-231,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-231,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-231,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-24,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-24,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-24,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-247,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-247,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-247,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-248,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-248,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-248,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-249,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-249,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-249,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-25,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-25,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-25,"3,2",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-250,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-250,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-250,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-251,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-251,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-251,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-27,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-27,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-27,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-28,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-28,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-28,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-40,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-40,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-40,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-43,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-43,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-43,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-46,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-46,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-46,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-47,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-47,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-47,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-49,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-49,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-49,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-5,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-5,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-5,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-56,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-56,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-56,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-59,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-59,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-59,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-60,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-60,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-60,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-61,"0,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-61,"3,1",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-61,"3,2",p,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-66,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-66,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-66,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-96,"0,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-96,"3,1",n,-1,dagstuhl,Qwen2.5-72B-Instruct,3
dagstuhl-96,"3,2",c,-1,dagstuhl,Qwen2.5-72B-Instruct,3
defabel-113,"0,2",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-113,"3,1",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-113,"3,2",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-132,"0,2",p,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-132,"3,1",p,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-132,"3,2",p,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-168,"0,2",p,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-168,"3,1",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-168,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-178,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-178,"3,1",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-178,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-202,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-202,"3,1",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-202,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-21,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-21,"3,1",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-21,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-211,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-211,"3,1",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-211,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-216,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-216,"3,1",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-216,"3,2",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-22,"0,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-22,"3,1",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-22,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-227,"0,2",n,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-227,"3,1",c,-1,defabel,Qwen2.5-72B-Instruct,3
defabel-227,"3,2",c,-1,defabel,Qwen2.5-72B-Instruct,3
